fips_code,county_name,state_name,population,birth_rate,death_rate
01001,Autauga County,Alabama,60342.0,11.9,10.3
01003,Baldwin County,Alabama,253507.0,10.1,10.6
01005,Barbour County,Alabama,24585.0,10.8,14.2
01007,Bibb County,Alabama,21868.0,10.9,13.2
01009,Blount County,Alabama,59816.0,11.7,13.0
01011,Bullock County,Alabama,9897.0,10.2,13.3
01013,Butler County,Alabama,18382.0,11.4,16.1
01015,Calhoun County,Alabama,116429.0,11.6,14.2
01017,Chambers County,Alabama,34079.0,11.7,15.0
01019,Cherokee County,Alabama,25666.0,9.0,16.0
01021,Chilton County,Alabama,46431.0,11.9,12.7
01023,Choctaw County,Alabama,12252.0,8.8,16.2
01025,Clarke County,Alabama,22337.0,13.0,16.3
01027,Clay County,Alabama,14111.0,11.2,16.3
01029,Cleburne County,Alabama,15639.0,11.4,14.8
01031,Coffee County,Alabama,55643.0,12.2,11.4
01033,Colbert County,Alabama,58361.0,10.9,13.8
01035,Conecuh County,Alabama,11174.0,12.0,18.3
01037,Coosa County,Alabama,10268.0,8.7,16.9
01039,Covington County,Alabama,37952.0,11.1,17.3
01041,Crenshaw County,Alabama,13101.0,12.0,17.2
01043,Cullman County,Alabama,92016.0,11.1,12.5
01045,Dale County,Alabama,49871.0,13.9,12.5
01047,Dallas County,Alabama,36165.0,11.7,15.7
01049,DeKalb County,Alabama,72569.0,11.5,13.1
01051,Elmore County,Alabama,90441.0,10.4,10.5
01053,Escambia County,Alabama,36558.0,11.7,15.9
01055,Etowah County,Alabama,103241.0,11.4,15.8
01057,Fayette County,Alabama,15967.0,11.2,17.2
01059,Franklin County,Alabama,31802.0,13.5,14.1
01061,Geneva County,Alabama,26988.0,10.9,16.8
01063,Greene County,Alabama,7341.0,11.4,17.0
01065,Hale County,Alabama,14888.0,14.4,17.0
01067,Henry County,Alabama,17899.0,9.7,14.7
01069,Houston County,Alabama,108462.0,12.1,12.5
01071,Jackson County,Alabama,53467.0,10.3,15.8
01073,Jefferson County,Alabama,662895.0,12.0,11.4
01075,Lamar County,Alabama,13661.0,11.3,17.4
01077,Lauderdale County,Alabama,96814.0,9.8,12.3
01079,Lawrence County,Alabama,33502.0,11.6,14.8
01081,Lee County,Alabama,183215.0,10.4,7.2
01083,Limestone County,Alabama,114654.0,10.7,9.2
01085,Lowndes County,Alabama,9717.0,12.3,17.3
01087,Macon County,Alabama,18370.0,8.8,13.1
01089,Madison County,Alabama,412600.0,11.0,8.9
01091,Marengo County,Alabama,18684.0,11.7,16.1
01093,Marion County,Alabama,29244.0,10.6,15.1
01095,Marshall County,Alabama,100756.0,15.3,12.5
01097,Mobile County,Alabama,411640.0,12.3,11.6
01099,Monroe County,Alabama,19229.0,12.0,16.5
01101,Montgomery County,Alabama,224980.0,13.3,10.5
01103,Morgan County,Alabama,125133.0,11.7,12.1
01105,Perry County,Alabama,7738.0,11.4,18.0
01107,Pickens County,Alabama,18688.0,9.9,15.1
01109,Pike County,Alabama,33137.0,10.9,12.0
01111,Randolph County,Alabama,22786.0,11.0,14.9
01113,Russell County,Alabama,58744.0,11.7,12.1
01115,St. Clair County,Alabama,95552.0,10.9,12.2
01117,Shelby County,Alabama,233000.0,10.3,7.5
01119,Sumter County,Alabama,11727.0,9.7,13.6
01121,Talladega County,Alabama,81132.0,10.8,14.2
01123,Tallapoosa County,Alabama,40677.0,9.6,15.6
01125,Tuscaloosa County,Alabama,237373.0,10.6,8.5
01127,Walker County,Alabama,64728.0,12.5,17.0
01129,Washington County,Alabama,15022.0,12.4,15.2
01131,Wilcox County,Alabama,9944.0,11.6,16.5
01133,Winston County,Alabama,23611.0,10.5,16.4
02013,Aleutians East Borough,Alaska,3461.0,4.9,2.9
02016,Aleutians West Census Area,Alaska,5160.0,4.9,3.1
02020,Anchorage Municipality,Alaska,286075.0,12.5,7.6
02050,Bethel Census Area,Alaska,18224.0,21.3,8.5
02060,Bristol Bay Borough,Alaska,844.0,12.8,8.2
02063,Chugach Census Area,Alaska,6769.0,9.1,3.5
02066,Copper River Census Area,Alaska,2674.0,12.1,6.8
02068,Denali Borough,Alaska,1584.0,12.7,5.7
02070,Dillingham Census Area,Alaska,4607.0,16.1,10.1
02090,Fairbanks North Star Borough,Alaska,94840.0,15.0,6.4
02100,Haines Borough,Alaska,2070.0,11.6,8.2
02105,Hoonah-Angoon Census Area,Alaska,2262.0,7.9,12.3
02110,Juneau City and Borough,Alaska,31555.0,9.0,6.8
02122,Kenai Peninsula Borough,Alaska,61223.0,10.4,9.0
02130,Ketchikan Gateway Borough,Alaska,13738.0,8.7,7.9
02150,Kodiak Island Borough,Alaska,12565.0,12.5,7.0
02158,Kusilvak Census Area,Alaska,8001.0,26.6,8.9
02164,Lake and Peninsula Borough,Alaska,1331.0,11.8,8.1
02170,Matanuska-Susitna Borough,Alaska,115239.0,12.0,7.5
02180,Nome Census Area,Alaska,9763.0,17.3,8.6
02185,North Slope Borough,Alaska,10603.0,11.8,5.9
02188,Northwest Arctic Borough,Alaska,7361.0,19.0,10.7
02195,Petersburg Borough,Alaska,3427.0,7.4,8.2
02198,Prince of Wales-Hyder Census Area,Alaska,5696.0,12.9,13.4
02220,Sitka City and Borough,Alaska,8282.0,9.1,8.3
02230,Skagway Municipality,Alaska,1095.0,8.2,7.3
02240,Southeast Fairbanks Census Area,Alaska,7077.0,13.9,7.7
02275,Wrangell City and Borough,Alaska,2064.0,9.2,11.6
02282,Yakutat City and Borough,Alaska,687.0,4.4,2.9
02290,Yukon-Koyukuk Census Area,Alaska,5129.0,10.7,14.6
04001,Apache County,Arizona,65036.0,11.1,14.9
04003,Cochise County,Arizona,124640.0,10.0,12.9
04005,Coconino County,Arizona,144472.0,9.1,7.3
04007,Gila County,Arizona,54003.0,8.4,17.3
04009,Graham County,Arizona,39525.0,12.6,10.4
04011,Greenlee County,Arizona,9369.0,12.6,10.5
04012,La Paz County,Arizona,16710.0,9.9,22.6
