fips_code,county_name,state_name,rucc,area_classification,latitude,longitude,population,median_age,birth_rate,death_rate,males_per_100_females,poverty_rate,unemployment_rate,labor_force_participation_rate,median_household_income,mean_household_income,pct_pop_25plus_highschool_plus,pct_pop_25plus_bachelor_plus,pct_households_limited_english_proficiency,pct_pop_health_insured,pct_households_with_internet,mean_zhvi_home_value,median_monthly_housing_cost,median_monthly_housing_cost_owner_occupied,median_monthly_housing_cost_renter_occupied,pct_households_owner_occupied,pct_households_renter_occupied,pct_employed_resource_extraction,pct_employed_manufacturing_construction,pct_employed_trade_transportation_utilities,pct_employed_knowledge_professional,pct_employed_public_social,pct_employed_hospitality_other
1001,Autauga County,Alabama,2,Metro,32.534927,-86.642734,60342,39.2,11.9,10.3,93.6,0.117,0.022,0.59,69841,93367,0.9028,0.2828,0.005,0.926,0.9095,232121.0,1048.0,953.0,1200.0,0.749,0.251,0.0099,0.1894,0.2079,0.1615,0.2931,0.1383
1003,Baldwin County,Alabama,3,Metro,30.727605,-87.72256,253507,43.7,10.1,10.6,95.7,0.1,0.023,0.583,75019,100105,0.9173,0.328,0.008,0.918,0.899,374872.0,1142.0,1098.0,1211.0,0.775,0.225,0.0174,0.1801,0.2155,0.1986,0.2381,0.1505
1005,Barbour County,Alabama,6,Nonmetro,31.869595,-85.393235,24585,40.7,10.8,14.2,108.9,0.255,0.044,0.449,44290,64745,0.7781,0.1146,0.025,0.892,0.723,149609.0,640.0,632.0,644.0,0.675,0.325,0.0416,0.2801,0.1739,0.0929,0.2956,0.1158
1007,Bibb County,Alabama,1,Metro,32.998627,-87.126467,21868,41.3,10.9,13.2,114.5,0.194,0.025,0.516,51215,67735,0.8034,0.1147,0.007,0.917,0.8136,202044.0,615.0,566.0,802.0,0.772,0.228,0.0267,0.265,0.2214,0.1503,0.2477,0.0889
1009,Blount County,Alabama,1,Metro,33.980816,-86.56748,59816,40.9,11.7,13.0,102.0,0.128,0.021,0.574,61096,79203,0.827,0.1558,0.018,0.898,0.8441,222756.0,741.0,746.0,743.0,0.795,0.205,0.0222,0.2569,0.2427,0.1353,0.231,0.1118
1011,Bullock County,Alabama,8,Nonmetro,32.100516,-85.715665,9897,40.4,10.2,13.3,120.7,0.336,0.024,0.466,36723,51121,0.7404,0.09,0.01,0.871,0.6545,124361.0,591.0,563.0,635.0,0.635,0.365,0.0246,0.3989,0.1621,0.1024,0.2226,0.0895
1013,Butler County,Alabama,6,Nonmetro,31.752436,-86.680271,18382,42.2,11.4,16.1,85.3,0.236,0.029,0.531,44881,69162,0.8759,0.1376,0.005,0.877,0.7984,111575.0,653.0,579.0,722.0,0.684,0.316,0.033,0.2476,0.1949,0.1406,0.2222,0.1616
1015,Calhoun County,Alabama,3,Metro,33.771407,-85.826032,116429,39.0,11.6,14.2,93.6,0.201,0.028,0.558,55826,71879,0.8609,0.2055,0.01,0.889,0.8534,151552.0,761.0,713.0,804.0,0.704,0.296,0.0087,0.2398,0.1949,0.1238,0.3049,0.128
1017,Chambers County,Alabama,6,Nonmetro,32.914331,-85.392022,34079,41.5,11.7,15.0,87.5,0.171,0.024,0.552,49295,65673,0.8362,0.1459,0.011,0.878,0.7911,131693.0,703.0,620.0,850.0,0.71,0.29,0.0171,0.3543,0.1454,0.1207,0.2441,0.1183
1019,Cherokee County,Alabama,8,Nonmetro,34.17591,-85.603798,25666,47.4,9.0,16.0,97.0,0.156,0.024,0.508,50769,71062,0.8387,0.1595,0.014,0.91,0.8058,211804.0,633.0,590.0,750.0,0.795,0.205,0.0204,0.2623,0.2026,0.0719,0.3211,0.1219
1021,Chilton County,Alabama,1,Metro,32.84787,-86.718768,46431,39.5,11.9,12.7,95.7,0.153,0.022,0.562,61873,75680,0.8419,0.1525,0.034,0.899,0.824,211791.0,766.0,654.0,855.0,0.768,0.232,0.0307,0.2938,0.2104,0.1132,0.2347,0.1171
1023,Choctaw County,Alabama,9,Nonmetro,32.019777,-88.263173,12252,47.0,8.8,16.2,88.3,0.248,0.04,0.464,44483,63315,0.8422,0.1391,0.0,0.918,0.7196,130811.0,476.0,465.0,653.0,0.822,0.178,0.0327,0.3309,0.2023,0.0841,0.2647,0.085
1025,Clarke County,Alabama,9,Nonmetro,31.676594,-87.830843,22337,42.5,13.0,16.3,89.8,0.19,0.05,0.501,49167,73965,0.8527,0.1543,0.001,0.918,0.7115,146448.0,628.0,589.0,785.0,0.709,0.291,0.0386,0.2332,0.2549,0.1243,0.2449,0.1042
1027,Clay County,Alabama,9,Nonmetro,33.269024,-85.860531,14111,43.8,11.2,16.3,93.0,0.169,0.024,0.494,51852,71247,0.8276,0.1524,0.003,0.916,0.7807,155991.0,486.0,473.0,624.0,0.777,0.223,0.0099,0.4271,0.1577,0.111,0.201,0.0934
1029,Cleburne County,Alabama,8,Nonmetro,33.674511,-85.518821,15639,42.3,11.4,14.8,100.7,0.158,0.023,0.492,53319,73100,0.854,0.1821,0.001,0.907,0.7516,211622.0,615.0,563.0,792.0,0.8,0.2,0.0159,0.3188,0.1918,0.1004,0.235,0.1381
1031,Coffee County,Alabama,4,Nonmetro,31.402658,-85.988174,55643,38.8,12.2,11.4,98.9,0.165,0.025,0.572,64672,81266,0.8602,0.2153,0.017,0.895,0.8702,184088.0,917.0,871.0,970.0,0.692,0.308,0.022,0.1491,0.2549,0.1414,0.2941,0.1387
