fips_code,county_name,state_name,rucc,area_classification,latitude,longitude,population,households,mean_household_size,median_age,birth_rate,death_rate,males_per_100_females,poverty_rate,unemployment_rate,labor_force_participation_rate,median_household_income,mean_household_income,pct_pop_25plus_highschool_plus,pct_pop_25plus_bachelor_plus,pct_households_limited_english_proficiency,pct_pop_health_insured,pct_households_with_internet,mean_zhvi_home_value,median_monthly_housing_cost,median_monthly_housing_cost_owner_occupied,median_monthly_housing_cost_renter_occupied,pct_households_owner_occupied,pct_households_renter_occupied,pct_employed_agriculture_forestry_fishing_hunting_mining,pct_employed_construction,pct_employed_manufacturing,pct_employed_wholesale_trade,pct_employed_retail_trade,pct_employed_transportation_warehousing_utilities,pct_employed_information,pct_employed_finance_insurance_real_estate,pct_employed_professional_scientific_management_administration,pct_employed_education_healthcare_social_assistance,pct_employed_arts_entertainment_recreation_food_accommodation,pct_employed_other_services,pct_employed_public_administration
01001,Autauga County,Alabama,2,Metro,32.534927,-86.642734,60342,22523,2.61,39.2,11.9,10.3,93.6,0.117,0.022,0.59,69841,93367,0.9028,0.2828,0.005,0.926,0.9095,232121.0,1048.0,953.0,1200.0,0.749,0.251,0.0099,0.0724,0.117,0.0293,0.1219,0.0567,0.0129,0.058,0.0906,0.1898,0.1014,0.0369,0.1033
01003,Baldwin County,Alabama,3,Metro,30.727605,-87.72256,253507,94642,2.5,43.7,10.1,10.6,95.7,0.1,0.023,0.583,75019,100105,0.9173,0.328,0.008,0.918,0.899,374872.0,1142.0,1098.0,1211.0,0.775,0.225,0.0174,0.0819,0.0982,0.0198,0.1462,0.0495,0.0089,0.0714,0.1183,0.1925,0.1011,0.0494,0.0456
01005,Barbour County,Alabama,6,Nonmetro,31.869595,-85.393235,24585,9080,2.39,40.7,10.8,14.2,108.9,0.255,0.044,0.449,44290,64745,0.7781,0.1146,0.025,0.892,0.723,149609.0,640.0,632.0,644.0,0.675,0.325,0.0416,0.0529,0.2272,0.0058,0.0997,0.0684,0.0054,0.0354,0.0521,0.2138,0.0861,0.0297,0.0818
01007,Bibb County,Alabama,1,Metro,32.998627,-87.126467,21868,7571,2.74,41.3,10.9,13.2,114.5,0.194,0.025,0.516,51215,67735,0.8034,0.1147,0.007,0.917,0.8136,202044.0,615.0,566.0,802.0,0.772,0.228,0.0267,0.1016,0.1634,0.029,0.135,0.0574,0.0084,0.0587,0.0832,0.2007,0.0342,0.0547,0.047
01009,Blount County,Alabama,1,Metro,33.980816,-86.56748,59816,21977,2.67,40.9,11.7,13.0,102.0,0.128,0.021,0.574,61096,79203,0.827,0.1558,0.018,0.898,0.8441,222756.0,741.0,746.0,743.0,0.795,0.205,0.0222,0.0934,0.1635,0.033,0.1323,0.0774,0.0094,0.0479,0.078,0.1955,0.0591,0.0527,0.0355
01011,Bullock County,Alabama,8,Nonmetro,32.100516,-85.715665,9897,3453,2.64,40.4,10.2,13.3,120.7,0.336,0.024,0.466,36723,51121,0.7404,0.09,0.01,0.871,0.6545,124361.0,591.0,563.0,635.0,0.635,0.365,0.0246,0.0392,0.3597,0.0177,0.1057,0.0387,0.0149,0.0544,0.0331,0.1345,0.0525,0.037,0.0881
01013,Butler County,Alabama,6,Nonmetro,31.752436,-86.680271,18382,7262,2.55,42.2,11.4,16.1,85.3,0.236,0.029,0.531,44881,69162,0.8759,0.1376,0.005,0.877,0.7984,111575.0,653.0,579.0,722.0,0.684,0.316,0.033,0.045,0.2026,0.0213,0.1184,0.0552,0.0065,0.0598,0.0743,0.1838,0.1072,0.0544,0.0384
01015,Calhoun County,Alabama,3,Metro,33.771407,-85.826032,116429,45125,2.48,39.0,11.6,14.2,93.6,0.201,0.028,0.558,55826,71879,0.8609,0.2055,0.01,0.889,0.8534,151552.0,761.0,713.0,804.0,0.704,0.296,0.0087,0.0471,0.1927,0.0227,0.1244,0.0478,0.0099,0.0358,0.0781,0.2319,0.0896,0.0384,0.073
01017,Chambers County,Alabama,6,Nonmetro,32.914331,-85.392022,34079,13419,2.52,41.5,11.7,15.0,87.5,0.171,0.024,0.552,49295,65673,0.8362,0.1459,0.011,0.878,0.7911,131693.0,703.0,620.0,850.0,0.71,0.29,0.0171,0.0552,0.2991,0.0111,0.0893,0.045,0.0122,0.036,0.0725,0.2097,0.0755,0.0428,0.0344
01019,Cherokee County,Alabama,8,Nonmetro,34.17591,-85.603798,25666,10477,2.38,47.4,9.0,16.0,97.0,0.156,0.024,0.508,50769,71062,0.8387,0.1595,0.014,0.91,0.8058,211804.0,633.0,590.0,750.0,0.795,0.205,0.0204,0.0772,0.1851,0.0126,0.1116,0.0784,0.0083,0.0321,0.0315,0.2589,0.0665,0.0554,0.0622
