fips_code,county_name,state_name,poverty_rate
01001,Autauga County,Alabama,0.11699999999999999
01003,Baldwin County,Alabama,0.1
01005,Barbour County,Alabama,0.255
01007,Bibb County,Alabama,0.19399999999999998
01009,Blount County,Alabama,0.128
01011,Bullock County,Alabama,0.336
01013,Butler County,Alabama,0.23600000000000002
01015,Calhoun County,Alabama,0.201
01017,Chambers County,Alabama,0.171
01019,Cherokee County,Alabama,0.156
01021,Chilton County,Alabama,0.153
01023,Choctaw County,Alabama,0.248
01025,Clarke County,Alabama,0.19
01027,Clay County,Alabama,0.16899999999999998
01029,Cleburne County,Alabama,0.158
01031,Coffee County,Alabama,0.165
01033,Colbert County,Alabama,0.154
01035,Conecuh County,Alabama,0.265
01037,Coosa County,Alabama,0.182
01039,Covington County,Alabama,0.16699999999999998
01041,Crenshaw County,Alabama,0.195
01043,Cullman County,Alabama,0.155
01045,Dale County,Alabama,0.166
01047,Dallas County,Alabama,0.314
01049,DeKalb County,Alabama,0.21600000000000003
01051,Elmore County,Alabama,0.125
01053,Escambia County,Alabama,0.213
01055,Etowah County,Alabama,0.196
01057,Fayette County,Alabama,0.162
01059,Franklin County,Alabama,0.225
01061,Geneva County,Alabama,0.192
01063,Greene County,Alabama,0.31
01065,Hale County,Alabama,0.23
01067,Henry County,Alabama,0.16399999999999998
01069,Houston County,Alabama,0.165
01071,Jackson County,Alabama,0.16
01073,Jefferson County,Alabama,0.16
01075,Lamar County,Alabama,0.16399999999999998
01077,Lauderdale County,Alabama,0.136
01079,Lawrence County,Alabama,0.142
01081,Lee County,Alabama,0.179
01083,Limestone County,Alabama,0.086
01085,Lowndes County,Alabama,0.294
01087,Macon County,Alabama,0.28800000000000003
01089,Madison County,Alabama,0.105
01091,Marengo County,Alabama,0.235
01093,Marion County,Alabama,0.19
01095,Marshall County,Alabama,0.165
01097,Mobile County,Alabama,0.163
01099,Monroe County,Alabama,0.191
01101,Montgomery County,Alabama,0.183
01103,Morgan County,Alabama,0.12
01105,Perry County,Alabama,0.33799999999999997
