fips_code,county_name,state_name,rucc,area_classification
01001,Autauga County,Alabama,2,Metro
01003,Baldwin County,Alabama,3,Metro
01005,Barbour County,Alabama,6,Nonmetro
01007,Bibb County,Alabama,1,Metro
01009,Blount County,Alabama,1,Metro
01011,Bullock County,Alabama,8,Nonmetro
01013,Butler County,Alabama,6,Nonmetro
01015,Calhoun County,Alabama,3,Metro
01017,Chambers County,Alabama,6,Nonmetro
01019,Cherokee County,Alabama,8,Nonmetro
01021,Chilton County,Alabama,1,Metro
01023,Choctaw County,Alabama,9,Nonmetro
01025,Clarke County,Alabama,9,Nonmetro
01027,Clay County,Alabama,9,Nonmetro
01029,Cleburne County,Alabama,8,Nonmetro
01031,Coffee County,Alabama,4,Nonmetro
01033,Colbert County,Alabama,3,Metro
01035,Conecuh County,Alabama,9,Nonmetro
01037,Coosa County,Alabama,8,Nonmetro
01039,Covington County,Alabama,6,Nonmetro
01041,Crenshaw County,Alabama,8,Nonmetro
01043,Cullman County,Alabama,4,Nonmetro
01045,Dale County,Alabama,4,Nonmetro
01047,Dallas County,Alabama,4,Nonmetro
01049,DeKalb County,Alabama,6,Nonmetro
01051,Elmore County,Alabama,2,Metro
01053,Escambia County,Alabama,6,Nonmetro
01055,Etowah County,Alabama,3,Metro
01057,Fayette County,Alabama,8,Nonmetro
01059,Franklin County,Alabama,6,Nonmetro
01061,Geneva County,Alabama,3,Metro
01063,Greene County,Alabama,2,Metro
01065,Hale County,Alabama,2,Metro
01067,Henry County,Alabama,3,Metro
01069,Houston County,Alabama,3,Metro
01071,Jackson County,Alabama,6,Nonmetro
01073,Jefferson County,Alabama,1,Metro
01075,Lamar County,Alabama,8,Nonmetro
01077,Lauderdale County,Alabama,3,Metro
01079,Lawrence County,Alabama,3,Metro
01081,Lee County,Alabama,3,Metro
01083,Limestone County,Alabama,2,Metro
01085,Lowndes County,Alabama,2,Metro
01087,Macon County,Alabama,3,Metro
01089,Madison County,Alabama,2,Metro
01091,Marengo County,Alabama,6,Nonmetro
01093,Marion County,Alabama,9,Nonmetro
01095,Marshall County,Alabama,4,Nonmetro
01097,Mobile County,Alabama,2,Metro
01099,Monroe County,Alabama,8,Nonmetro
01101,Montgomery County,Alabama,2,Metro
01103,Morgan County,Alabama,3,Metro
01105,Perry County,Alabama,8,Nonmetro
01107,Pickens County,Alabama,2,Metro
01109,Pike County,Alabama,6,Nonmetro
01111,Randolph County,Alabama,8,Nonmetro
01113,Russell County,Alabama,2,Metro
01115,St. Clair County,Alabama,1,Metro
01117,Shelby County,Alabama,1,Metro
01119,Sumter County,Alabama,8,Nonmetro
01121,Talladega County,Alabama,4,Nonmetro
01123,Tallapoosa County,Alabama,6,Nonmetro
01125,Tuscaloosa County,Alabama,2,Metro
01127,Walker County,Alabama,1,Metro
01129,Washington County,Alabama,8,Nonmetro
01131,Wilcox County,Alabama,9,Nonmetro
01133,Winston County,Alabama,8,Nonmetro
02013,Aleutians East Borough,Alaska,9,Nonmetro
02016,Aleutians West Census Area,Alaska,9,Nonmetro
02020,Anchorage Municipality,Alaska,2,Metro
02050,Bethel Census Area,Alaska,7,Nonmetro
02060,Bristol Bay Borough,Alaska,9,Nonmetro
02063,Chugach Census Area,Alaska,9,Nonmetro
02066,Copper River Census Area,Alaska,9,Nonmetro
02068,Denali Borough,Alaska,9,Nonmetro
02070,Dillingham Census Area,Alaska,9,Nonmetro
02090,Fairbanks North Star Borough,Alaska,3,Metro
02100,Haines Borough,Alaska,9,Nonmetro
02105,Hoonah-Angoon Census Area,Alaska,9,Nonmetro
02110,Juneau City and Borough,Alaska,5,Nonmetro
02122,Kenai Peninsula Borough,Alaska,7,Nonmetro
02130,Ketchikan Gateway Borough,Alaska,7,Nonmetro
02150,Kodiak Island Borough,Alaska,7,Nonmetro
02158,Kusilvak Census Area,Alaska,9,Nonmetro
02164,Lake and Peninsula Borough,Alaska,9,Nonmetro
02170,Matanuska-Susitna Borough,Alaska,2,Metro
02180,Nome Census Area,Alaska,9,Nonmetro
02185,North Slope Borough,Alaska,9,Nonmetro
02188,Northwest Arctic Borough,Alaska,9,Nonmetro
02195,Petersburg Borough,Alaska,9,Nonmetro
02198,Prince of Wales-Hyder Census Area,Alaska,9,Nonmetro
02220,Sitka City and Borough,Alaska,7,Nonmetro
02230,Skagway Municipality,Alaska,9,Nonmetro
02240,Southeast Fairbanks Census Area,Alaska,9,Nonmetro
02275,Wrangell City and Borough,Alaska,9,Nonmetro
02282,Yakutat City and Borough,Alaska,9,Nonmetro
02290,Yukon-Koyukuk Census Area,Alaska,8,Nonmetro
04001,Apache County,Arizona,8,Nonmetro
04003,Cochise County,Arizona,3,Metro
04005,Coconino County,Arizona,3,Metro
04007,Gila County,Arizona,4,Nonmetro
04009,Graham County,Arizona,7,Nonmetro
04011,Greenlee County,Arizona,9,Nonmetro
04012,La Paz County,Arizona,6,Nonmetro
04013,Maricopa County,Arizona,1,Metro
04015,Mohave County,Arizona,3,Metro
04017,Navajo County,Arizona,4,Nonmetro
04019,Pima County,Arizona,1,Metro
04021,Pinal County,Arizona,1,Metro
04023,Santa Cruz County,Arizona,6,Nonmetro
04025,Yavapai County,Arizona,3,Metro
04027,Yuma County,Arizona,3,Metro
05001,Arkansas County,Arkansas,6,Nonmetro
05003,Ashley County,Arkansas,7,Nonmetro
05005,Baxter County,Arkansas,7,Nonmetro
05007,Benton County,Arkansas,2,Metro
05009,Boone County,Arkansas,7,Nonmetro
05011,Bradley County,Arkansas,7,Nonmetro
05013,Calhoun County,Arkansas,9,Nonmetro
05015,Carroll County,Arkansas,6,Nonmetro
05017,Chicot County,Arkansas,9,Nonmetro
05019,Clark County,Arkansas,7,Nonmetro
05021,Clay County,Arkansas,9,Nonmetro
05023,Cleburne County,Arkansas,6,Nonmetro
05025,Cleveland County,Arkansas,8,Nonmetro
05027,Columbia County,Arkansas,7,Nonmetro
05029,Conway County,Arkansas,6,Nonmetro
05031,Craighead County,Arkansas,3,Metro
05033,Crawford County,Arkansas,3,Metro
05035,Crittenden County,Arkansas,1,Metro
05037,Cross County,Arkansas,6,Nonmetro
05039,Dallas County,Arkansas,8,Nonmetro
05041,Desha County,Arkansas,9,Nonmetro
05043,Drew County,Arkansas,7,Nonmetro
05045,Faulkner County,Arkansas,2,Metro
05047,Franklin County,Arkansas,8,Nonmetro
05049,Fulton County,Arkansas,9,Nonmetro
05051,Garland County,Arkansas,3,Metro
05053,Grant County,Arkansas,2,Metro
05055,Greene County,Arkansas,4,Nonmetro
05057,Hempstead County,Arkansas,6,Nonmetro
05059,Hot Spring County,Arkansas,6,Nonmetro
