FIPS Code,County Name,State Name,median_age,sex_ratio
01001,Autauga County,Alabama,39.2,93.6
01003,Baldwin County,Alabama,43.7,95.7
01005,Barbour County,Alabama,40.7,108.9
01007,Bibb County,Alabama,41.3,114.5
01009,Blount County,Alabama,40.9,102.0
01011,Bullock County,Alabama,40.4,120.7
01013,Butler County,Alabama,42.2,85.3
01015,Calhoun County,Alabama,39.0,93.6
01017,Chambers County,Alabama,41.5,87.5
01019,Cherokee County,Alabama,47.4,97.0
01021,Chilton County,Alabama,39.5,95.7
01023,Choctaw County,Alabama,47.0,88.3
01025,Clarke County,Alabama,42.5,89.8
01027,Clay County,Alabama,43.8,93.0
01029,Cleburne County,Alabama,42.3,100.7
01031,Coffee County,Alabama,38.8,98.9
01033,Colbert County,Alabama,42.3,93.0
01035,Conecuh County,Alabama,46.3,86.6
01037,Coosa County,Alabama,50.3,105.1
01039,Covington County,Alabama,42.8,93.3
01041,Crenshaw County,Alabama,42.4,93.9
01043,Cullman County,Alabama,41.1,98.0
01045,Dale County,Alabama,38.0,97.1
01047,Dallas County,Alabama,40.3,86.5
01049,DeKalb County,Alabama,39.6,100.0
01051,Elmore County,Alabama,38.9,94.9
01053,Escambia County,Alabama,40.5,100.0
01055,Etowah County,Alabama,41.8,94.0
01057,Fayette County,Alabama,42.8,94.6
01059,Franklin County,Alabama,38.6,97.4
01061,Geneva County,Alabama,44.0,96.2
01063,Greene County,Alabama,44.4,92.6
01065,Hale County,Alabama,41.0,91.4
01067,Henry County,Alabama,45.0,95.3
01069,Houston County,Alabama,40.3,92.4
01071,Jackson County,Alabama,43.4,97.9
01073,Jefferson County,Alabama,37.8,90.4
01075,Lamar County,Alabama,44.5,96.2
01077,Lauderdale County,Alabama,40.7,92.5
01079,Lawrence County,Alabama,42.8,96.8
01081,Lee County,Alabama,33.6,97.5
01083,Limestone County,Alabama,40.5,100.5
01085,Lowndes County,Alabama,42.7,92.2
01087,Macon County,Alabama,37.8,85.0
01089,Madison County,Alabama,38.2,96.9
01091,Marengo County,Alabama,41.1,90.0
01093,Marion County,Alabama,43.8,97.6
01095,Marshall County,Alabama,38.6,98.8
01097,Mobile County,Alabama,38.4,91.8
01099,Monroe County,Alabama,43.9,93.4
01101,Montgomery County,Alabama,36.9,89.0
01103,Morgan County,Alabama,40.3,97.4
01105,Perry County,Alabama,42.5,84.6
01107,Pickens County,Alabama,42.5,93.6
01109,Pike County,Alabama,31.7,91.2
01111,Randolph County,Alabama,44.0,96.1
01113,Russell County,Alabama,37.2,91.0
01115,St. Clair County,Alabama,41.0,97.8
01117,Shelby County,Alabama,40.0,95.0
01119,Sumter County,Alabama,34.9,80.4
01121,Talladega County,Alabama,42.2,94.6
01123,Tallapoosa County,Alabama,45.4,94.6
01125,Tuscaloosa County,Alabama,33.0,93.5
01127,Walker County,Alabama,41.3,96.5
01129,Washington County,Alabama,44.1,99.1
01131,Wilcox County,Alabama,42.0,91.8
01133,Winston County,Alabama,45.3,99.7
02013,Aleutians East Borough,Alaska,41.8,161.9
02016,Aleutians West Census Area,Alaska,39.1,227.1
02020,Anchorage Municipality,Alaska,34.9,104.4
02050,Bethel Census Area,Alaska,28.7,114.9
02060,Bristol Bay Borough,Alaska,39.3,156.7
02063,Chugach Census Area,Alaska,38.4,115.0
02066,Copper River Census Area,Alaska,45.5,102.6
02068,Denali Borough,Alaska,44.1,171.6
02070,Dillingham Census Area,Alaska,30.9,106.7
02090,Fairbanks North Star Borough,Alaska,32.4,118.9
02100,Haines Borough,Alaska,52.4,102.4
02105,Hoonah-Angoon Census Area,Alaska,51.4,133.2
02110,Juneau City and Borough,Alaska,39.8,104.7
02122,Kenai Peninsula Borough,Alaska,41.5,109.3
02130,Ketchikan Gateway Borough,Alaska,40.8,108.8
02150,Kodiak Island Borough,Alaska,35.4,118.4
02158,Kusilvak Census Area,Alaska,23.6,115.2
02164,Lake and Peninsula Borough,Alaska,33.4,118.0
02170,Matanuska-Susitna Borough,Alaska,36.6,109.7
02180,Nome Census Area,Alaska,29.4,109.6
02185,North Slope Borough,Alaska,35.2,156.6
02188,Northwest Arctic Borough,Alaska,28.3,111.8
02195,Petersburg Borough,Alaska,45.7,99.9
02198,Prince of Wales-Hyder Census Area,Alaska,43.7,123.7
02220,Sitka City and Borough,Alaska,39.6,108.5
02230,Skagway Municipality,Alaska,42.5,68.6
02240,Southeast Fairbanks Census Area,Alaska,37.9,134.2
02275,Wrangell City and Borough,Alaska,44.3,105.9
02282,Yakutat City and Borough,Alaska,53.2,192.5
02290,Yukon-Koyukuk Census Area,Alaska,37.3,114.2
04001,Apache County,Arizona,36.2,98.3
04003,Cochise County,Arizona,42.9,104.1
04005,Coconino County,Arizona,32.4,97.7
04007,Gila County,Arizona,51.4,100.0
04009,Graham County,Arizona,34.4,114.3
04011,Greenlee County,Arizona,36.1,109.8
04012,La Paz County,Arizona,59.7,106.8
04013,Maricopa County,Arizona,37.5,98.9
04015,Mohave County,Arizona,53.2,102.6
04017,Navajo County,Arizona,39.4,100.9
04019,Pima County,Arizona,39.7,97.7
04021,Pinal County,Arizona,40.3,108.2
04023,Santa Cruz County,Arizona,37.9,93.3
04025,Yavapai County,Arizona,55.0,97.1
04027,Yuma County,Arizona,35.8,106.5
05001,Arkansas County,Arkansas,41.0,95.6
05003,Ashley County,Arkansas,42.7,89.9
05005,Baxter County,Arkansas,51.9,95.0
05007,Benton County,Arkansas,35.8,100.7
05009,Boone County,Arkansas,41.3,96.4
05011,Bradley County,Arkansas,38.5,91.0
05013,Calhoun County,Arkansas,44.8,104.5
05015,Carroll County,Arkansas,44.7,102.5
05017,Chicot County,Arkansas,42.9,103.0
05019,Clark County,Arkansas,31.9,91.3
05021,Clay County,Arkansas,42.6,94.8
05023,Cleburne County,Arkansas,49.5,99.8
05025,Cleveland County,Arkansas,43.7,90.8
05027,Columbia County,Arkansas,34.5,92.6
05029,Conway County,Arkansas,42.6,98.6
05031,Craighead County,Arkansas,34.5,95.2
05033,Crawford County,Arkansas,39.1,97.3
05035,Crittenden County,Arkansas,36.0,89.8
05037,Cross County,Arkansas,40.6,93.7
05039,Dallas County,Arkansas,44.5,100.9
05041,Desha County,Arkansas,41.2,90.7
05043,Drew County,Arkansas,37.7,94.9
05045,Faulkner County,Arkansas,34.0,95.1
05047,Franklin County,Arkansas,42.4,98.9
05049,Fulton County,Arkansas,48.6,96.4
05051,Garland County,Arkansas,45.3,93.6
05053,Grant County,Arkansas,40.2,101.4
05055,Greene County,Arkansas,37.8,98.3
05057,Hempstead County,Arkansas,41.1,91.5
05059,Hot Spring County,Arkansas,43.0,109.6
05061,Howard County,Arkansas,39.4,91.8
05063,Independence County,Arkansas,39.0,99.9
05065,Izard County,Arkansas,47.5,111.5
05067,Jackson County,Arkansas,40.4,101.0
05069,Jefferson County,Arkansas,39.5,99.4
05071,Johnson County,Arkansas,39.4,98.2
05073,Lafayette County,Arkansas,48.5,106.1
05075,Lawrence County,Arkansas,39.8,97.5
05077,Lee County,Arkansas,41.9,127.0
05079,Lincoln County,Arkansas,40.1,171.7
05081,Little River County,Arkansas,42.2,88.1
05083,Logan County,Arkansas,43.8,97.2
05085,Lonoke County,Arkansas,37.3,97.7
05087,Madison County,Arkansas,41.2,100.1
05089,Marion County,Arkansas,51.9,98.6
05091,Miller County,Arkansas,39.0,99.5
05093,Mississippi County,Arkansas,36.9,96.9
05095,Monroe County,Arkansas,45.5,93.1
05097,Montgomery County,Arkansas,50.8,105.3
05099,Nevada County,Arkansas,44.2,95.6
05101,Newton County,Arkansas,48.9,102.7
05103,Ouachita County,Arkansas,44.0,93.1
05105,Perry County,Arkansas,44.1,103.4
05107,Phillips County,Arkansas,39.9,87.4
05109,Pike County,Arkansas,42.8,96.9
05111,Poinsett County,Arkansas,39.8,94.7
05113,Polk County,Arkansas,44.4,95.8
05115,Pope County,Arkansas,36.7,98.3
05117,Prairie County,Arkansas,45.8,101.8
05119,Pulaski County,Arkansas,37.5,91.8
05121,Randolph County,Arkansas,39.3,100.8
05123,St. Francis County,Arkansas,39.7,124.7
05125,Saline County,Arkansas,40.4,96.0
05127,Scott County,Arkansas,42.4,111.7
05129,Searcy County,Arkansas,48.5,100.5
05131,Sebastian County,Arkansas,38.0,96.7
05133,Sevier County,Arkansas,34.8,101.1
05135,Sharp County,Arkansas,47.5,96.5
05137,Stone County,Arkansas,49.2,97.7
05139,Union County,Arkansas,41.5,95.5
05141,Van Buren County,Arkansas,49.6,100.8
05143,Washington County,Arkansas,32.5,101.1
05145,White County,Arkansas,38.4,95.6
05147,Woodruff County,Arkansas,44.9,104.7
05149,Yell County,Arkansas,39.9,102.9
06001,Alameda County,California,38.7,98.4
06003,Alpine County,California,41.1,109.3
06005,Amador County,California,49.9,120.3
06007,Butte County,California,36.3,99.0
06009,Calaveras County,California,52.0,98.8
06011,Colusa County,California,35.7,106.7
06013,Contra Costa County,California,40.3,96.8
06015,Del Norte County,California,40.8,119.4
06017,El Dorado County,California,46.1,100.0
06019,Fresno County,California,33.2,100.5
06021,Glenn County,California,35.9,105.2
06023,Humboldt County,California,39.6,97.9
06025,Imperial County,California,33.0,105.6
06027,Inyo County,California,45.6,103.5
06029,Kern County,California,32.4,103.9
06031,Kings County,California,32.3,123.3
06033,Lake County,California,44.2,100.8
06035,Lassen County,California,37.8,164.1
06037,Los Angeles County,California,37.9,98.2
06039,Madera County,California,34.6,96.4
06041,Marin County,California,47.3,96.5
06043,Mariposa County,California,51.6,106.2
06045,Mendocino County,California,43.9,98.4
06047,Merced County,California,31.8,103.0
06049,Modoc County,California,49.0,96.5
06051,Mono County,California,40.3,126.7
06053,Monterey County,California,35.3,103.5
06055,Napa County,California,42.8,100.2
06057,Nevada County,California,50.3,97.6
06059,Orange County,California,39.1,98.3
06061,Placer County,California,42.4,96.8
06063,Plumas County,California,52.1,104.1
06065,Riverside County,California,36.7,100.6
06067,Sacramento County,California,37.2,97.0
06069,San Benito County,California,35.9,101.6
06071,San Bernardino County,California,34.4,100.3
