fips_code,county_name,state_name,pop25,pop_25plus_highschool_plus,pop_25plus_bachelor_plus
01001,Autauga County,Alabama,40767,36804,11530
01003,Baldwin County,Alabama,171988,157767,56408
01005,Barbour County,Alabama,17628,13717,2021
01007,Bibb County,Alabama,15931,12799,1827
01009,Blount County,Alabama,40991,33898,6386
01011,Bullock County,Alabama,7378,5463,664
01013,Butler County,Alabama,13164,11531,1812
01015,Calhoun County,Alabama,78627,67687,16154
01017,Chambers County,Alabama,24484,20474,3571
01019,Cherokee County,Alabama,18777,15748,2994
01021,Chilton County,Alabama,30747,25885,4688
01023,Choctaw County,Alabama,8998,7578,1252
01025,Clarke County,Alabama,15966,13614,2463
01027,Clay County,Alabama,10259,8490,1563
01029,Cleburne County,Alabama,10861,9275,1978
01031,Coffee County,Alabama,36904,31746,7945
01033,Colbert County,Alabama,40978,35876,8307
01035,Conecuh County,Alabama,8127,7110,1067
01037,Coosa County,Alabama,7935,6568,1180
01039,Covington County,Alabama,26459,22803,4545
01041,Crenshaw County,Alabama,9104,7518,1530
01043,Cullman County,Alabama,62400,53037,11910
01045,Dale County,Alabama,33832,29002,6539
01047,Dallas County,Alabama,25507,22206,4338
01049,DeKalb County,Alabama,48464,38260,6727
01051,Elmore County,Alabama,61916,55470,15104
01053,Escambia County,Alabama,25499,21045,3185
01055,Etowah County,Alabama,72570,62249,12683
01057,Fayette County,Alabama,11220,9563,1750
01059,Franklin County,Alabama,21156,16816,3150
01061,Geneva County,Alabama,18969,15784,2526
01063,Greene County,Alabama,5274,4325,658
01065,Hale County,Alabama,9968,8163,1672
01067,Henry County,Alabama,12722,10462,2758
01069,Houston County,Alabama,74490,65104,16960
01071,Jackson County,Alabama,37890,31091,5892
01073,Jefferson County,Alabama,454593,413643,163366
01075,Lamar County,Alabama,9826,8244,1139
01077,Lauderdale County,Alabama,64931,57986,17586
01079,Lawrence County,Alabama,23380,19770,3652
01081,Lee County,Alabama,109875,100454,45415
01083,Limestone County,Alabama,75594,66192,22974
01085,Lowndes County,Alabama,6999,5825,971
01087,Macon County,Alabama,11661,9819,2418
01089,Madison County,Alabama,272559,252365,124533
01091,Marengo County,Alabama,12932,11072,2640
01093,Marion County,Alabama,20753,17040,2663
