fips_code,county_name,state_name,pct_pop_health_insured
01001,Autauga County,Alabama,92.6
01003,Baldwin County,Alabama,91.8
01005,Barbour County,Alabama,89.2
01007,Bibb County,Alabama,91.7
01009,Blount County,Alabama,89.8
01011,Bullock County,Alabama,87.1
01013,Butler County,Alabama,87.7
01015,Calhoun County,Alabama,88.9
01017,Chambers County,Alabama,87.8
01019,Cherokee County,Alabama,91.0
01021,Chilton County,Alabama,89.9
01023,Choctaw County,Alabama,91.8
01025,Clarke County,Alabama,91.8
01027,Clay County,Alabama,91.6
01029,Cleburne County,Alabama,90.7
01031,Coffee County,Alabama,89.5
01033,Colbert County,Alabama,92.6
01035,Conecuh County,Alabama,91.8
01037,Coosa County,Alabama,92.6
01039,Covington County,Alabama,89.7
01041,Crenshaw County,Alabama,90.8
01043,Cullman County,Alabama,89.3
01045,Dale County,Alabama,89.1
01047,Dallas County,Alabama,90.7
01049,DeKalb County,Alabama,85.0
01051,Elmore County,Alabama,92.3
01053,Escambia County,Alabama,88.7
01055,Etowah County,Alabama,87.8
01057,Fayette County,Alabama,92.1
01059,Franklin County,Alabama,88.2
01061,Geneva County,Alabama,87.2
01063,Greene County,Alabama,86.2
01065,Hale County,Alabama,93.7
01067,Henry County,Alabama,92.0
01069,Houston County,Alabama,88.3
01071,Jackson County,Alabama,89.5
01073,Jefferson County,Alabama,90.8
01075,Lamar County,Alabama,91.0
01077,Lauderdale County,Alabama,90.2
01079,Lawrence County,Alabama,90.8
01081,Lee County,Alabama,91.3
01083,Limestone County,Alabama,91.9
01085,Lowndes County,Alabama,91.5
01087,Macon County,Alabama,90.9
01089,Madison County,Alabama,92.3
01091,Marengo County,Alabama,91.4
01093,Marion County,Alabama,89.8
01095,Marshall County,Alabama,88.5
01097,Mobile County,Alabama,89.1
01099,Monroe County,Alabama,88.8
01101,Montgomery County,Alabama,89.4
01103,Morgan County,Alabama,88.8
01105,Perry County,Alabama,92.5
01107,Pickens County,Alabama,91.1
01109,Pike County,Alabama,91.8
01111,Randolph County,Alabama,91.0
01113,Russell County,Alabama,88.5
01115,St. Clair County,Alabama,92.7
01117,Shelby County,Alabama,93.3
01119,Sumter County,Alabama,90.8
01121,Talladega County,Alabama,91.6
01123,Tallapoosa County,Alabama,91.1
01125,Tuscaloosa County,Alabama,93.3
01127,Walker County,Alabama,88.4
01129,Washington County,Alabama,92.3
01131,Wilcox County,Alabama,90.9
01133,Winston County,Alabama,90.6
02013,Aleutians East Borough,Alaska,65.0
02016,Aleutians West Census Area,Alaska,81.9
02020,Anchorage Municipality,Alaska,90.0
02050,Bethel Census Area,Alaska,87.1
02060,Bristol Bay Borough,Alaska,80.5
02063,Chugach Census Area,Alaska,86.0
02066,Copper River Census Area,Alaska,83.2
02068,Denali Borough,Alaska,94.9
02070,Dillingham Census Area,Alaska,83.2
02090,Fairbanks North Star Borough,Alaska,91.0
02100,Haines Borough,Alaska,91.4
02105,Hoonah-Angoon Census Area,Alaska,79.2
02110,Juneau City and Borough,Alaska,92.0
02122,Kenai Peninsula Borough,Alaska,88.3
02130,Ketchikan Gateway Borough,Alaska,90.5
02150,Kodiak Island Borough,Alaska,89.8
02158,Kusilvak Census Area,Alaska,88.8
02164,Lake and Peninsula Borough,Alaska,68.6
02170,Matanuska-Susitna Borough,Alaska,87.8
02180,Nome Census Area,Alaska,85.0
02185,North Slope Borough,Alaska,85.7
02188,Northwest Arctic Borough,Alaska,81.2
02195,Petersburg Borough,Alaska,89.1
02198,Prince of Wales-Hyder Census Area,Alaska,81.8
02220,Sitka City and Borough,Alaska,88.4
02230,Skagway Municipality,Alaska,91.1
02240,Southeast Fairbanks Census Area,Alaska,83.4
02275,Wrangell City and Borough,Alaska,82.8
02282,Yakutat City and Borough,Alaska,84.4
02290,Yukon-Koyukuk Census Area,Alaska,77.1
04001,Apache County,Arizona,79.6
04003,Cochise County,Arizona,92.0
04005,Coconino County,Arizona,89.1
04007,Gila County,Arizona,90.0
04009,Graham County,Arizona,91.2
04011,Greenlee County,Arizona,97.4
04012,La Paz County,Arizona,87.1
04013,Maricopa County,Arizona,89.3
04015,Mohave County,Arizona,90.3
04017,Navajo County,Arizona,84.7
04019,Pima County,Arizona,91.1
04021,Pinal County,Arizona,89.9
04023,Santa Cruz County,Arizona,85.5
04025,Yavapai County,Arizona,89.3
04027,Yuma County,Arizona,85.3
05001,Arkansas County,Arkansas,93.3
05003,Ashley County,Arkansas,91.4
05005,Baxter County,Arkansas,92.8
05007,Benton County,Arkansas,90.2
05009,Boone County,Arkansas,92.1
05011,Bradley County,Arkansas,88.0
05013,Calhoun County,Arkansas,90.5
05015,Carroll County,Arkansas,86.6
05017,Chicot County,Arkansas,89.5
05019,Clark County,Arkansas,91.3
05021,Clay County,Arkansas,91.1
05023,Cleburne County,Arkansas,92.8
05025,Cleveland County,Arkansas,95.1
05027,Columbia County,Arkansas,93.4
05029,Conway County,Arkansas,93.6
05031,Craighead County,Arkansas,91.6
05033,Crawford County,Arkansas,91.6
05035,Crittenden County,Arkansas,92.0
05037,Cross County,Arkansas,92.5
05039,Dallas County,Arkansas,95.3
05041,Desha County,Arkansas,91.5
05043,Drew County,Arkansas,92.9
05045,Faulkner County,Arkansas,92.5
05047,Franklin County,Arkansas,91.7
05049,Fulton County,Arkansas,88.6
05051,Garland County,Arkansas,90.5
05053,Grant County,Arkansas,93.3
05055,Greene County,Arkansas,91.0
05057,Hempstead County,Arkansas,89.9
05059,Hot Spring County,Arkansas,92.0
05061,Howard County,Arkansas,88.3
05063,Independence County,Arkansas,89.7
05065,Izard County,Arkansas,93.4
05067,Jackson County,Arkansas,91.1
05069,Jefferson County,Arkansas,94.5
05071,Johnson County,Arkansas,92.2
05073,Lafayette County,Arkansas,91.4
05075,Lawrence County,Arkansas,90.7
05077,Lee County,Arkansas,93.5
05079,Lincoln County,Arkansas,92.1
05081,Little River County,Arkansas,94.4
05083,Logan County,Arkansas,92.3
05085,Lonoke County,Arkansas,93.3
05087,Madison County,Arkansas,87.5
05089,Marion County,Arkansas,92.8
05091,Miller County,Arkansas,88.7
05093,Mississippi County,Arkansas,90.5
05095,Monroe County,Arkansas,93.0
05097,Montgomery County,Arkansas,88.8
05099,Nevada County,Arkansas,93.8
05101,Newton County,Arkansas,93.9
05103,Ouachita County,Arkansas,94.2
05105,Perry County,Arkansas,94.7
05107,Phillips County,Arkansas,91.6
05109,Pike County,Arkansas,88.5
05111,Poinsett County,Arkansas,90.1
05113,Polk County,Arkansas,90.3
05115,Pope County,Arkansas,92.5
05117,Prairie County,Arkansas,94.0
05119,Pulaski County,Arkansas,90.4
05121,Randolph County,Arkansas,92.9
05123,St. Francis County,Arkansas,92.1
05125,Saline County,Arkansas,94.0
05127,Scott County,Arkansas,90.2
05129,Searcy County,Arkansas,94.2
05131,Sebastian County,Arkansas,89.5
05133,Sevier County,Arkansas,81.1
05135,Sharp County,Arkansas,94.0
05137,Stone County,Arkansas,90.9
05139,Union County,Arkansas,94.2
05141,Van Buren County,Arkansas,90.1
05143,Washington County,Arkansas,87.7
05145,White County,Arkansas,90.3
05147,Woodruff County,Arkansas,92.0
05149,Yell County,Arkansas,91.7
06001,Alameda County,California,95.9
06003,Alpine County,California,95.0
06005,Amador County,California,94.1
06007,Butte County,California,93.6
06009,Calaveras County,California,94.7
06011,Colusa County,California,91.0
06013,Contra Costa County,California,95.2
06015,Del Norte County,California,94.1
06017,El Dorado County,California,96.0
06019,Fresno County,California,93.0
06021,Glenn County,California,91.1
06023,Humboldt County,California,94.2
06025,Imperial County,California,93.2
06027,Inyo County,California,92.9
06029,Kern County,California,92.2
06031,Kings County,California,92.1
06033,Lake County,California,93.6
06035,Lassen County,California,93.3
06037,Los Angeles County,California,91.3
06039,Madera County,California,92.5
06041,Marin County,California,96.2
06043,Mariposa County,California,93.5
06045,Mendocino County,California,91.8
06047,Merced County,California,91.0
06049,Modoc County,California,90.2
06051,Mono County,California,88.4
06053,Monterey County,California,90.1
06055,Napa County,California,94.3
06057,Nevada County,California,94.8
06059,Orange County,California,93.2
06061,Placer County,California,96.6
06063,Plumas County,California,95.0
06065,Riverside County,California,92.0
06067,Sacramento County,California,94.9
06069,San Benito County,California,93.7
06071,San Bernardino County,California,91.5
06073,San Diego County,California,93.2
06075,San Francisco County,California,96.5
06077,San Joaquin County,California,93.6
06079,San Luis Obispo County,California,94.2
06081,San Mateo County,California,96.1
06083,Santa Barbara County,California,90.8
06085,Santa Clara County,California,96.0
06087,Santa Cruz County,California,94.7
06089,Shasta County,California,93.3
06091,Sierra County,California,87.6
06093,Siskiyou County,California,93.6
06095,Solano County,California,95.1
06097,Sonoma County,California,94.6
06099,Stanislaus County,California,94.0
06101,Sutter County,California,94.0
06103,Tehama County,California,93.6
06105,Trinity County,California,87.6
06107,Tulare County,California,92.0
06109,Tuolumne County,California,94.2
06111,Ventura County,California,92.1
06113,Yolo County,California,95.4
06115,Yuba County,California,93.1
08001,Adams County,Colorado,88.9
08003,Alamosa County,Colorado,93.6
08005,Arapahoe County,Colorado,91.0
08007,Archuleta County,Colorado,88.5
08009,Baca County,Colorado,92.3
08011,Bent County,Colorado,91.8
08013,Boulder County,Colorado,95.6
08014,Broomfield County,Colorado,95.2
08015,Chaffee County,Colorado,92.7
08017,Cheyenne County,Colorado,92.0
08019,Clear Creek County,Colorado,93.1
08021,Conejos County,Colorado,86.5
08023,Costilla County,Colorado,91.7
08025,Crowley County,Colorado,92.3
08027,Custer County,Colorado,92.2
08029,Delta County,Colorado,89.0
08031,Denver County,Colorado,91.2
08033,Dolores County,Colorado,93.3
08035,Douglas County,Colorado,96.3
08037,Eagle County,Colorado,89.9
08039,Elbert County,Colorado,95.4
08041,El Paso County,Colorado,92.9
08043,Fremont County,Colorado,94.1
08045,Garfield County,Colorado,82.1
08047,Gilpin County,Colorado,92.6
08049,Grand County,Colorado,86.8
08051,Gunnison County,Colorado,93.8
08053,Hinsdale County,Colorado,89.4
08055,Huerfano County,Colorado,95.8
08057,Jackson County,Colorado,92.5
08059,Jefferson County,Colorado,94.8
08061,Kiowa County,Colorado,93.0
08063,Kit Carson County,Colorado,89.2
08065,Lake County,Colorado,86.7
08067,La Plata County,Colorado,90.5
08069,Larimer County,Colorado,94.3
08071,Las Animas County,Colorado,91.5
08073,Lincoln County,Colorado,92.1
08075,Logan County,Colorado,91.2
08077,Mesa County,Colorado,90.2
08079,Mineral County,Colorado,84.4
08081,Moffat County,Colorado,91.1
08083,Montezuma County,Colorado,88.6
08085,Montrose County,Colorado,87.1
08087,Morgan County,Colorado,89.2
08089,Otero County,Colorado,92.9
08091,Ouray County,Colorado,85.7
08093,Park County,Colorado,93.0
08095,Phillips County,Colorado,94.5
08097,Pitkin County,Colorado,95.5
08099,Prowers County,Colorado,89.9
08101,Pueblo County,Colorado,94.3
08103,Rio Blanco County,Colorado,90.4
08105,Rio Grande County,Colorado,86.2
08107,Routt County,Colorado,92.0
08109,Saguache County,Colorado,89.0
08111,San Juan County,Colorado,87.5
08113,San Miguel County,Colorado,89.2
08115,Sedgwick County,Colorado,91.7
08117,Summit County,Colorado,89.8
08119,Teller County,Colorado,93.0
08121,Washington County,Colorado,93.7
08123,Weld County,Colorado,91.5
08125,Yuma County,Colorado,85.4
09110,Capitol Planning Region,Connecticut,95.8
09120,Greater Bridgeport Planning Region,Connecticut,91.6
09130,Lower Connecticut River Valley Planning Region,Connecticut,96.6
09140,Naugatuck Valley Planning Region,Connecticut,95.5
09150,Northeastern Connecticut Planning Region,Connecticut,96.3
09160,Northwest Hills Planning Region,Connecticut,96.1
09170,South Central Connecticut Planning Region,Connecticut,94.9
09180,Southeastern Connecticut Planning Region,Connecticut,95.5
09190,Western Connecticut Planning Region,Connecticut,92.5
10001,Kent County,Delaware,93.0
10003,New Castle County,Delaware,94.3
10005,Sussex County,Delaware,93.1
11001,District of Columbia,District of Columbia,96.6
12001,Alachua County,Florida,92.2
12003,Baker County,Florida,89.6
12005,Bay County,Florida,86.2
12007,Bradford County,Florida,88.7
12009,Brevard County,Florida,90.1
12011,Broward County,Florida,86.7
12013,Calhoun County,Florida,81.0
12015,Charlotte County,Florida,90.2
12017,Citrus County,Florida,88.5
12019,Clay County,Florida,91.8
