fips_code,county_name,state_name,pct_households_owner_occupied,pct_households_renter_occupied
01001,Autauga County,Alabama,74.9,25.1
01003,Baldwin County,Alabama,77.5,22.5
01005,Barbour County,Alabama,67.5,32.5
01007,Bibb County,Alabama,77.2,22.8
01009,Blount County,Alabama,79.5,20.5
01011,Bullock County,Alabama,63.5,36.5
01013,Butler County,Alabama,68.4,31.6
01015,Calhoun County,Alabama,70.4,29.6
01017,Chambers County,Alabama,71.0,29.0
01019,Cherokee County,Alabama,79.5,20.5
01021,Chilton County,Alabama,76.8,23.2
01023,Choctaw County,Alabama,82.2,17.8
01025,Clarke County,Alabama,70.9,29.1
01027,Clay County,Alabama,77.7,22.3
01029,Cleburne County,Alabama,80.0,20.0
01031,Coffee County,Alabama,69.2,30.8
01033,Colbert County,Alabama,70.8,29.2
01035,Conecuh County,Alabama,74.9,25.1
01037,Coosa County,Alabama,81.3,18.7
01039,Covington County,Alabama,75.7,24.3
01041,Crenshaw County,Alabama,74.2,25.8
01043,Cullman County,Alabama,76.4,23.6
01045,Dale County,Alabama,61.3,38.7
01047,Dallas County,Alabama,61.0,39.0
01049,DeKalb County,Alabama,76.8,23.2
01051,Elmore County,Alabama,76.9,23.1
01053,Escambia County,Alabama,68.7,31.3
01055,Etowah County,Alabama,73.8,26.2
01057,Fayette County,Alabama,78.2,21.8
01059,Franklin County,Alabama,71.8,28.2
01061,Geneva County,Alabama,78.3,21.7
01063,Greene County,Alabama,69.7,30.3
01065,Hale County,Alabama,77.0,23.0
01067,Henry County,Alabama,80.9,19.1
01069,Houston County,Alabama,63.9,36.1
01071,Jackson County,Alabama,75.0,25.0
01073,Jefferson County,Alabama,63.7,36.3
01075,Lamar County,Alabama,74.0,26.0
01077,Lauderdale County,Alabama,67.8,32.2
01079,Lawrence County,Alabama,81.4,18.6
01081,Lee County,Alabama,65.7,34.3
01083,Limestone County,Alabama,77.5,22.5
01085,Lowndes County,Alabama,77.3,22.7
01087,Macon County,Alabama,64.8,35.2
01089,Madison County,Alabama,68.8,31.2
01091,Marengo County,Alabama,69.0,31.0
01093,Marion County,Alabama,75.2,24.8
01095,Marshall County,Alabama,75.5,24.5
01097,Mobile County,Alabama,64.9,35.1
01099,Monroe County,Alabama,70.2,29.8
01101,Montgomery County,Alabama,57.7,42.3
01103,Morgan County,Alabama,72.5,27.5
01105,Perry County,Alabama,69.3,30.7
01107,Pickens County,Alabama,75.4,24.6
01109,Pike County,Alabama,62.9,37.1
01111,Randolph County,Alabama,78.7,21.3
01113,Russell County,Alabama,60.6,39.4
01115,St. Clair County,Alabama,82.5,17.5
01117,Shelby County,Alabama,81.3,18.7
01119,Sumter County,Alabama,69.6,30.4
01121,Talladega County,Alabama,72.6,27.4
01123,Tallapoosa County,Alabama,75.6,24.4
01125,Tuscaloosa County,Alabama,62.2,37.8
01127,Walker County,Alabama,77.5,22.5
01129,Washington County,Alabama,85.9,14.1
01131,Wilcox County,Alabama,77.9,22.1
01133,Winston County,Alabama,76.6,23.4
02013,Aleutians East Borough,Alaska,57.0,43.0
02016,Aleutians West Census Area,Alaska,29.5,70.5
02020,Anchorage Municipality,Alaska,63.7,36.3
02050,Bethel Census Area,Alaska,60.5,39.5
02060,Bristol Bay Borough,Alaska,51.9,48.1
02063,Chugach Census Area,Alaska,62.7,37.3
02066,Copper River Census Area,Alaska,67.7,32.3
02068,Denali Borough,Alaska,78.2,21.8
02070,Dillingham Census Area,Alaska,63.1,36.9
02090,Fairbanks North Star Borough,Alaska,61.7,38.3
02100,Haines Borough,Alaska,76.4,23.6
02105,Hoonah-Angoon Census Area,Alaska,72.2,27.8
02110,Juneau City and Borough,Alaska,64.4,35.6
02122,Kenai Peninsula Borough,Alaska,76.8,23.2
02130,Ketchikan Gateway Borough,Alaska,67.3,32.7
02150,Kodiak Island Borough,Alaska,60.7,39.3
02158,Kusilvak Census Area,Alaska,69.4,30.6
02164,Lake and Peninsula Borough,Alaska,60.6,39.4
02170,Matanuska-Susitna Borough,Alaska,76.6,23.4
02180,Nome Census Area,Alaska,63.4,36.6
02185,North Slope Borough,Alaska,49.5,50.5
02188,Northwest Arctic Borough,Alaska,60.5,39.5
02195,Petersburg Borough,Alaska,71.0,29.0
02198,Prince of Wales-Hyder Census Area,Alaska,71.6,28.4
02220,Sitka City and Borough,Alaska,61.7,38.3
02230,Skagway Municipality,Alaska,65.6,34.4
02240,Southeast Fairbanks Census Area,Alaska,75.9,24.1
02275,Wrangell City and Borough,Alaska,56.6,43.4
02282,Yakutat City and Borough,Alaska,60.9,39.1
02290,Yukon-Koyukuk Census Area,Alaska,70.7,29.3
04001,Apache County,Arizona,79.1,20.9
04003,Cochise County,Arizona,70.5,29.5
04005,Coconino County,Arizona,58.8,41.2
04007,Gila County,Arizona,77.2,22.8
04009,Graham County,Arizona,73.5,26.5
04011,Greenlee County,Arizona,55.8,44.2
04012,La Paz County,Arizona,70.4,29.6
04013,Maricopa County,Arizona,65.0,35.0
04015,Mohave County,Arizona,73.6,26.4
04017,Navajo County,Arizona,72.7,27.3
04019,Pima County,Arizona,64.8,35.2
04021,Pinal County,Arizona,80.5,19.5
04023,Santa Cruz County,Arizona,68.4,31.6
04025,Yavapai County,Arizona,73.5,26.5
04027,Yuma County,Arizona,70.0,30.0
05001,Arkansas County,Arkansas,67.5,32.5
05003,Ashley County,Arkansas,72.1,27.9
05005,Baxter County,Arkansas,75.0,25.0
05007,Benton County,Arkansas,67.2,32.8
05009,Boone County,Arkansas,70.3,29.7
05011,Bradley County,Arkansas,66.9,33.1
05013,Calhoun County,Arkansas,86.4,13.6
05015,Carroll County,Arkansas,77.7,22.3
05017,Chicot County,Arkansas,67.4,32.6
05019,Clark County,Arkansas,61.5,38.5
05021,Clay County,Arkansas,71.5,28.5
05023,Cleburne County,Arkansas,78.5,21.5
05025,Cleveland County,Arkansas,79.2,20.8
05027,Columbia County,Arkansas,69.1,30.9
05029,Conway County,Arkansas,71.5,28.5
05031,Craighead County,Arkansas,59.2,40.8
