fips_code,county_name,state_name,households,households_with_internet
01001,Autauga County,Alabama,22523,20484
01003,Baldwin County,Alabama,94642,85082
01005,Barbour County,Alabama,9080,6565
01007,Bibb County,Alabama,7571,6160
01009,Blount County,Alabama,21977,18551
01011,Bullock County,Alabama,3453,2260
01013,Butler County,Alabama,7262,5798
01015,Calhoun County,Alabama,45125,38509
01017,Chambers County,Alabama,13419,10616
01019,Cherokee County,Alabama,10477,8442
01021,Chilton County,Alabama,17554,14464
01023,Choctaw County,Alabama,5174,3723
01025,Clarke County,Alabama,8452,6014
01027,Clay County,Alabama,5765,4501
01029,Cleburne County,Alabama,5849,4396
01031,Coffee County,Alabama,20860,18152
01033,Colbert County,Alabama,24217,19162
01035,Conecuh County,Alabama,4528,3096
01037,Coosa County,Alabama,4201,3377
01039,Covington County,Alabama,14495,11507
01041,Crenshaw County,Alabama,5075,3469
01043,Cullman County,Alabama,34543,29619
01045,Dale County,Alabama,19769,16723
01047,Dallas County,Alabama,15416,12231
01049,DeKalb County,Alabama,25946,22154
01051,Elmore County,Alabama,32529,29374
01053,Escambia County,Alabama,12781,9642
01055,Etowah County,Alabama,39160,33315
01057,Fayette County,Alabama,6051,4709
01059,Franklin County,Alabama,11593,7684
01061,Geneva County,Alabama,10550,8125
01063,Greene County,Alabama,3037,1845
01065,Hale County,Alabama,5541,4213
01067,Henry County,Alabama,6684,5358
01069,Houston County,Alabama,42581,36409
01071,Jackson County,Alabama,21186,18460
01073,Jefferson County,Alabama,268911,238227
01075,Lamar County,Alabama,4987,3612
01077,Lauderdale County,Alabama,38777,31739
01079,Lawrence County,Alabama,13145,9814
01081,Lee County,Alabama,67944,59102
01083,Limestone County,Alabama,40021,35738
01085,Lowndes County,Alabama,4161,2689
01087,Macon County,Alabama,7151,5452
01089,Madison County,Alabama,162469,148575
01091,Marengo County,Alabama,7615,5823
01093,Marion County,Alabama,10874,8333
01095,Marshall County,Alabama,35963,32194
01097,Mobile County,Alabama,160507,137653
01099,Monroe County,Alabama,7396,5117
01101,Montgomery County,Alabama,90785,80861
01103,Morgan County,Alabama,48752,40582
01105,Perry County,Alabama,3195,2287
01107,Pickens County,Alabama,6946,5268
01109,Pike County,Alabama,12605,10152
01111,Randolph County,Alabama,9127,7385
01113,Russell County,Alabama,23784,18443
01115,St. Clair County,Alabama,34477,31222
01117,Shelby County,Alabama,85414,79994
01119,Sumter County,Alabama,4765,3651
01121,Talladega County,Alabama,32889,28325
01123,Tallapoosa County,Alabama,16548,13576
01125,Tuscaloosa County,Alabama,87289,76392
01127,Walker County,Alabama,24843,20316
01129,Washington County,Alabama,5678,4509
01131,Wilcox County,Alabama,3693,2719
01133,Winston County,Alabama,9328,7264
02013,Aleutians East Borough,Alaska,998,579
02016,Aleutians West Census Area,Alaska,977,757
02020,Anchorage Municipality,Alaska,107868,101822
02050,Bethel Census Area,Alaska,4661,3762
02060,Bristol Bay Borough,Alaska,283,228
02063,Chugach Census Area,Alaska,2679,2522
02066,Copper River Census Area,Alaska,1146,930
02068,Denali Borough,Alaska,533,436
02070,Dillingham Census Area,Alaska,1383,1108
02090,Fairbanks North Star Borough,Alaska,36176,32889
02100,Haines Borough,Alaska,899,746
02105,Hoonah-Angoon Census Area,Alaska,922,603
02110,Juneau City and Borough,Alaska,13138,12261
02122,Kenai Peninsula Borough,Alaska,23902,20830
02130,Ketchikan Gateway Borough,Alaska,5621,5062
02150,Kodiak Island Borough,Alaska,4608,4242
02158,Kusilvak Census Area,Alaska,1891,1525
02164,Lake and Peninsula Borough,Alaska,322,239
02170,Matanuska-Susitna Borough,Alaska,39682,36691
02180,Nome Census Area,Alaska,2786,2326
02185,North Slope Borough,Alaska,2205,1560
02188,Northwest Arctic Borough,Alaska,1817,1606
02195,Petersburg Borough,Alaska,1319,1145
02198,Prince of Wales-Hyder Census Area,Alaska,2348,1820
02220,Sitka City and Borough,Alaska,3503,3151
02230,Skagway Municipality,Alaska,451,404
02240,Southeast Fairbanks Census Area,Alaska,2311,1829
02275,Wrangell City and Borough,Alaska,912,817
02282,Yakutat City and Borough,Alaska,207,170
02290,Yukon-Koyukuk Census Area,Alaska,2317,1243
04001,Apache County,Arizona,20439,10964
04003,Cochise County,Arizona,50476,43502
04005,Coconino County,Arizona,53642,44641
04007,Gila County,Arizona,23253,18788
04009,Graham County,Arizona,12460,10493
04011,Greenlee County,Arizona,3444,2992
04012,La Paz County,Arizona,8887,6754
04013,Maricopa County,Arizona,1697342,1564919
04015,Mohave County,Arizona,96899,84202
04017,Navajo County,Arizona,39171,28347
04019,Pima County,Arizona,430965,392414
04021,Pinal County,Arizona,157193,144344
04023,Santa Cruz County,Arizona,16816,14226
04025,Yavapai County,Arizona,108900,98874
04027,Yuma County,Arizona,76903,66671
05001,Arkansas County,Arkansas,6587,5358
