fips_code,county_name,state_name,pct_households_limited_english_proficiency
01001,Autauga County,Alabama,0.5
01003,Baldwin County,Alabama,0.8
01005,Barbour County,Alabama,2.5
01007,Bibb County,Alabama,0.7
01009,Blount County,Alabama,1.8
01011,Bullock County,Alabama,1.0
01013,Butler County,Alabama,0.5
01015,Calhoun County,Alabama,1.0
01017,Chambers County,Alabama,1.1
01019,Cherokee County,Alabama,1.4
01021,Chilton County,Alabama,3.4
01023,Choctaw County,Alabama,0.0
01025,Clarke County,Alabama,0.1
01027,Clay County,Alabama,0.3
01029,Cleburne County,Alabama,0.1
01031,Coffee County,Alabama,1.7
01033,Colbert County,Alabama,0.9
01035,Conecuh County,Alabama,0.5
01037,Coosa County,Alabama,0.0
01039,Covington County,Alabama,0.1
01041,Crenshaw County,Alabama,1.6
01043,Cullman County,Alabama,0.7
01045,Dale County,Alabama,1.4
01047,Dallas County,Alabama,0.3
01049,DeKalb County,Alabama,2.8
01051,Elmore County,Alabama,0.7
01053,Escambia County,Alabama,1.0
01055,Etowah County,Alabama,0.7
01057,Fayette County,Alabama,0.0
01059,Franklin County,Alabama,4.4
01061,Geneva County,Alabama,0.9
01063,Greene County,Alabama,0.7
01065,Hale County,Alabama,0.0
01067,Henry County,Alabama,0.2
01069,Houston County,Alabama,0.7
01071,Jackson County,Alabama,0.7
01073,Jefferson County,Alabama,1.7
01075,Lamar County,Alabama,0.0
01077,Lauderdale County,Alabama,0.9
01079,Lawrence County,Alabama,0.5
01081,Lee County,Alabama,2.5
01083,Limestone County,Alabama,1.8
01085,Lowndes County,Alabama,0.0
01087,Macon County,Alabama,0.2
01089,Madison County,Alabama,1.6
01091,Marengo County,Alabama,1.6
01093,Marion County,Alabama,0.2
01095,Marshall County,Alabama,2.3
01097,Mobile County,Alabama,1.0
01099,Monroe County,Alabama,0.0
01101,Montgomery County,Alabama,1.7
01103,Morgan County,Alabama,1.7
01105,Perry County,Alabama,0.0
01107,Pickens County,Alabama,0.0
01109,Pike County,Alabama,0.8
01111,Randolph County,Alabama,0.7
01113,Russell County,Alabama,1.1
01115,St. Clair County,Alabama,0.6
01117,Shelby County,Alabama,1.3
01119,Sumter County,Alabama,0.1
01121,Talladega County,Alabama,0.2
01123,Tallapoosa County,Alabama,0.5
01125,Tuscaloosa County,Alabama,1.1
01127,Walker County,Alabama,0.7
01129,Washington County,Alabama,0.1
01131,Wilcox County,Alabama,0.0
01133,Winston County,Alabama,0.8
02013,Aleutians East Borough,Alaska,6.9
02016,Aleutians West Census Area,Alaska,4.2
02020,Anchorage Municipality,Alaska,3.0
02050,Bethel Census Area,Alaska,3.5
02060,Bristol Bay Borough,Alaska,2.5
02063,Chugach Census Area,Alaska,1.0
02066,Copper River Census Area,Alaska,0.0
02068,Denali Borough,Alaska,0.0
02070,Dillingham Census Area,Alaska,2.0
02090,Fairbanks North Star Borough,Alaska,1.7
02100,Haines Borough,Alaska,0.0
02105,Hoonah-Angoon Census Area,Alaska,0.9
02110,Juneau City and Borough,Alaska,3.0
02122,Kenai Peninsula Borough,Alaska,0.7
02130,Ketchikan Gateway Borough,Alaska,1.6
02150,Kodiak Island Borough,Alaska,6.8
02158,Kusilvak Census Area,Alaska,1.0
02164,Lake and Peninsula Borough,Alaska,0.9
02170,Matanuska-Susitna Borough,Alaska,0.7
02180,Nome Census Area,Alaska,1.2
02185,North Slope Borough,Alaska,6.8
02188,Northwest Arctic Borough,Alaska,0.3
02195,Petersburg Borough,Alaska,3.6
02198,Prince of Wales-Hyder Census Area,Alaska,0.0
02220,Sitka City and Borough,Alaska,1.4
02230,Skagway Municipality,Alaska,2.9
02240,Southeast Fairbanks Census Area,Alaska,1.0
02275,Wrangell City and Borough,Alaska,0.0
02282,Yakutat City and Borough,Alaska,0.0
02290,Yukon-Koyukuk Census Area,Alaska,1.9
04001,Apache County,Arizona,13.7
04003,Cochise County,Arizona,4.7
04005,Coconino County,Arizona,2.5
04007,Gila County,Arizona,0.9
04009,Graham County,Arizona,0.8
04011,Greenlee County,Arizona,1.0
04012,La Paz County,Arizona,6.2
04013,Maricopa County,Arizona,3.2
04015,Mohave County,Arizona,1.3
04017,Navajo County,Arizona,6.4
04019,Pima County,Arizona,3.4
04021,Pinal County,Arizona,1.7
04023,Santa Cruz County,Arizona,24.5
04025,Yavapai County,Arizona,1.6
04027,Yuma County,Arizona,10.7
05001,Arkansas County,Arkansas,0.9
05003,Ashley County,Arkansas,1.8
05005,Baxter County,Arkansas,0.4
05007,Benton County,Arkansas,2.9
05009,Boone County,Arkansas,0.3
05011,Bradley County,Arkansas,0.4
05013,Calhoun County,Arkansas,0.9
05015,Carroll County,Arkansas,2.9
05017,Chicot County,Arkansas,1.1
05019,Clark County,Arkansas,0.7
05021,Clay County,Arkansas,0.0
05023,Cleburne County,Arkansas,0.1
05025,Cleveland County,Arkansas,0.0
05027,Columbia County,Arkansas,1.2
05029,Conway County,Arkansas,0.5
05031,Craighead County,Arkansas,1.3
05033,Crawford County,Arkansas,1.0
05035,Crittenden County,Arkansas,0.8
05037,Cross County,Arkansas,0.0
05039,Dallas County,Arkansas,0.0
05041,Desha County,Arkansas,2.1
05043,Drew County,Arkansas,0.0
05045,Faulkner County,Arkansas,0.9
05047,Franklin County,Arkansas,0.2
05049,Fulton County,Arkansas,0.2
05051,Garland County,Arkansas,1.2
05053,Grant County,Arkansas,0.2
05055,Greene County,Arkansas,0.1
05057,Hempstead County,Arkansas,0.9
05059,Hot Spring County,Arkansas,0.1
05061,Howard County,Arkansas,1.4
05063,Independence County,Arkansas,0.5
05065,Izard County,Arkansas,0.0
05067,Jackson County,Arkansas,0.0
05069,Jefferson County,Arkansas,0.4
05071,Johnson County,Arkansas,2.7
05073,Lafayette County,Arkansas,0.2
05075,Lawrence County,Arkansas,0.1
05077,Lee County,Arkansas,0.0
05079,Lincoln County,Arkansas,0.5
05081,Little River County,Arkansas,0.6
05083,Logan County,Arkansas,0.6
05085,Lonoke County,Arkansas,0.7
05087,Madison County,Arkansas,1.1
05089,Marion County,Arkansas,0.4
05091,Miller County,Arkansas,0.3
05093,Mississippi County,Arkansas,0.8
05095,Monroe County,Arkansas,0.1
05097,Montgomery County,Arkansas,0.7
05099,Nevada County,Arkansas,0.0
05101,Newton County,Arkansas,0.2
05103,Ouachita County,Arkansas,0.0
05105,Perry County,Arkansas,0.0
05107,Phillips County,Arkansas,0.6
05109,Pike County,Arkansas,0.6
05111,Poinsett County,Arkansas,0.4
05113,Polk County,Arkansas,1.0
05115,Pope County,Arkansas,2.0
05117,Prairie County,Arkansas,0.0
05119,Pulaski County,Arkansas,1.8
05121,Randolph County,Arkansas,0.3
05123,St. Francis County,Arkansas,1.2
05125,Saline County,Arkansas,2.1
05127,Scott County,Arkansas,1.0
05129,Searcy County,Arkansas,0.0
05131,Sebastian County,Arkansas,3.3
05133,Sevier County,Arkansas,5.1
05135,Sharp County,Arkansas,0.2
05137,Stone County,Arkansas,0.2
05139,Union County,Arkansas,0.2
05141,Van Buren County,Arkansas,0.7
05143,Washington County,Arkansas,3.8
05145,White County,Arkansas,0.2
05147,Woodruff County,Arkansas,0.0
05149,Yell County,Arkansas,4.1
06001,Alameda County,California,8.3
06003,Alpine County,California,0.0
06005,Amador County,California,1.8
06007,Butte County,California,2.4
06009,Calaveras County,California,0.3
06011,Colusa County,California,8.9
06013,Contra Costa County,California,6.1
06015,Del Norte County,California,1.5
06017,El Dorado County,California,1.5
06019,Fresno County,California,9.3
06021,Glenn County,California,7.1
06023,Humboldt County,California,1.5
06025,Imperial County,California,23.8
06027,Inyo County,California,0.9
06029,Kern County,California,8.5
06031,Kings County,California,11.4
06033,Lake County,California,2.1
06035,Lassen County,California,2.3
06037,Los Angeles County,California,12.1
06039,Madera County,California,9.5
06041,Marin County,California,4.3
06043,Mariposa County,California,1.4
06045,Mendocino County,California,2.1
06047,Merced County,California,12.5
06049,Modoc County,California,3.3
06051,Mono County,California,3.3
06053,Monterey County,California,10.3
06055,Napa County,California,5.2
06057,Nevada County,California,0.9
06059,Orange County,California,7.9
06061,Placer County,California,2.1
06063,Plumas County,California,1.0
06065,Riverside County,California,6.4
06067,Sacramento County,California,6.2
06069,San Benito County,California,8.1
06071,San Bernardino County,California,6.3
06073,San Diego County,California,5.9
06075,San Francisco County,California,10.8
06077,San Joaquin County,California,8.1
06079,San Luis Obispo County,California,2.2
06081,San Mateo County,California,7.9
06083,Santa Barbara County,California,6.4
06085,Santa Clara County,California,10.4
06087,Santa Cruz County,California,4.4
06089,Shasta County,California,1.1
06091,Sierra County,California,0.0
06093,Siskiyou County,California,1.1
06095,Solano County,California,5.3
06097,Sonoma County,California,4.2
06099,Stanislaus County,California,7.4
06101,Sutter County,California,7.0
06103,Tehama County,California,2.4
06105,Trinity County,California,0.4
06107,Tulare County,California,12.6
06109,Tuolumne County,California,0.5
06111,Ventura County,California,5.8
06113,Yolo County,California,5.5
06115,Yuba County,California,3.1
08001,Adams County,Colorado,4.5
08003,Alamosa County,Colorado,1.9
08005,Arapahoe County,Colorado,4.4
08007,Archuleta County,Colorado,0.6
08009,Baca County,Colorado,0.4
08011,Bent County,Colorado,0.3
08013,Boulder County,Colorado,1.8
08014,Broomfield County,Colorado,1.1
08015,Chaffee County,Colorado,0.8
08017,Cheyenne County,Colorado,3.3
08019,Clear Creek County,Colorado,0.6
08021,Conejos County,Colorado,8.3
08023,Costilla County,Colorado,6.2
08025,Crowley County,Colorado,1.3
08027,Custer County,Colorado,0.3
08029,Delta County,Colorado,0.8
08031,Denver County,Colorado,3.1
08033,Dolores County,Colorado,0.0
08035,Douglas County,Colorado,0.8
08037,Eagle County,Colorado,4.5
08039,Elbert County,Colorado,0.3
08041,El Paso County,Colorado,1.5
08043,Fremont County,Colorado,0.5
08045,Garfield County,Colorado,5.1
08047,Gilpin County,Colorado,0.3
08049,Grand County,Colorado,0.8
08051,Gunnison County,Colorado,0.2
08053,Hinsdale County,Colorado,0.0
08055,Huerfano County,Colorado,1.2
08057,Jackson County,Colorado,0.0
08059,Jefferson County,Colorado,1.1
08061,Kiowa County,Colorado,3.0
08063,Kit Carson County,Colorado,3.6
08065,Lake County,Colorado,0.3
08067,La Plata County,Colorado,0.9
08069,Larimer County,Colorado,0.8
08071,Las Animas County,Colorado,1.4
08073,Lincoln County,Colorado,0.1
08075,Logan County,Colorado,0.5
08077,Mesa County,Colorado,0.5
08079,Mineral County,Colorado,0.0
08081,Moffat County,Colorado,2.2
08083,Montezuma County,Colorado,2.9
08085,Montrose County,Colorado,2.9
08087,Morgan County,Colorado,4.8
08089,Otero County,Colorado,2.4
08091,Ouray County,Colorado,0.0
08093,Park County,Colorado,0.2
08095,Phillips County,Colorado,6.1
08097,Pitkin County,Colorado,2.8
08099,Prowers County,Colorado,5.3
08101,Pueblo County,Colorado,1.4
08103,Rio Blanco County,Colorado,1.5
08105,Rio Grande County,Colorado,4.1
08107,Routt County,Colorado,1.1
08109,Saguache County,Colorado,3.4
08111,San Juan County,Colorado,0.0
08113,San Miguel County,Colorado,4.2
08115,Sedgwick County,Colorado,2.0
08117,Summit County,Colorado,3.3
08119,Teller County,Colorado,0.2
08121,Washington County,Colorado,3.2
08123,Weld County,Colorado,3.4
08125,Yuma County,Colorado,6.4
09110,Capitol Planning Region,Connecticut,5.2
09120,Greater Bridgeport Planning Region,Connecticut,8.8
09130,Lower Connecticut River Valley Planning Region,Connecticut,2.4
09140,Naugatuck Valley Planning Region,Connecticut,5.0
09150,Northeastern Connecticut Planning Region,Connecticut,1.1
09160,Northwest Hills Planning Region,Connecticut,1.6
09170,South Central Connecticut Planning Region,Connecticut,4.9
09180,Southeastern Connecticut Planning Region,Connecticut,3.3
09190,Western Connecticut Planning Region,Connecticut,6.3
10001,Kent County,Delaware,2.0
10003,New Castle County,Delaware,2.8
10005,Sussex County,Delaware,2.5
11001,District of Columbia,District of Columbia,3.0
12001,Alachua County,Florida,2.0
12003,Baker County,Florida,0.0
12005,Bay County,Florida,2.1
12007,Bradford County,Florida,0.3
12009,Brevard County,Florida,1.6
12011,Broward County,Florida,9.5
12013,Calhoun County,Florida,0.2
12015,Charlotte County,Florida,1.6
12017,Citrus County,Florida,1.0
12019,Clay County,Florida,1.4
12021,Collier County,Florida,6.4
12023,Columbia County,Florida,1.1
12027,DeSoto County,Florida,7.0
12029,Dixie County,Florida,0.8
12031,Duval County,Florida,3.6
12033,Escambia County,Florida,1.4
12035,Flagler County,Florida,3.6
12037,Franklin County,Florida,0.3
12039,Gadsden County,Florida,2.2
12041,Gilchrist County,Florida,1.9
12043,Glades County,Florida,2.6
12045,Gulf County,Florida,0.4
12047,Hamilton County,Florida,1.5
12049,Hardee County,Florida,8.2
12051,Hendry County,Florida,14.7
12053,Hernando County,Florida,2.2
12055,Highlands County,Florida,3.7
12057,Hillsborough County,Florida,6.8
12059,Holmes County,Florida,1.1
12061,Indian River County,Florida,1.7
12063,Jackson County,Florida,0.5
12065,Jefferson County,Florida,0.2
12067,Lafayette County,Florida,2.1
12069,Lake County,Florida,2.6
12071,Lee County,Florida,5.1
12073,Leon County,Florida,1.5
12075,Levy County,Florida,2.3
12077,Liberty County,Florida,0.3
12079,Madison County,Florida,0.4
12081,Manatee County,Florida,2.7
12083,Marion County,Florida,2.6
12085,Martin County,Florida,1.8
12086,Miami-Dade County,Florida,24.2
12087,Monroe County,Florida,5.0
12089,Nassau County,Florida,0.7
12091,Okaloosa County,Florida,2.7
12093,Okeechobee County,Florida,4.1
12095,Orange County,Florida,8.1
12097,Osceola County,Florida,12.2
12099,Palm Beach County,Florida,7.1
12101,Pasco County,Florida,2.8
12103,Pinellas County,Florida,3.1
12105,Polk County,Florida,5.3
12107,Putnam County,Florida,2.0
12109,St. Johns County,Florida,1.1
12111,St. Lucie County,Florida,4.3
12113,Santa Rosa County,Florida,0.7
12115,Sarasota County,Florida,2.5
12117,Seminole County,Florida,3.3
12119,Sumter County,Florida,0.4
12121,Suwannee County,Florida,0.7
12123,Taylor County,Florida,0.0
12125,Union County,Florida,0.0
12127,Volusia County,Florida,1.5
12129,Wakulla County,Florida,0.5
12131,Walton County,Florida,2.2
12133,Washington County,Florida,0.5
13001,Appling County,Georgia,0.8
13003,Atkinson County,Georgia,7.0
13005,Bacon County,Georgia,1.0
13007,Baker County,Georgia,0.0
13009,Baldwin County,Georgia,0.3
13011,Banks County,Georgia,2.3
13013,Barrow County,Georgia,2.3
13015,Bartow County,Georgia,2.6
13017,Ben Hill County,Georgia,1.0
13019,Berrien County,Georgia,0.7
13021,Bibb County,Georgia,1.2
13023,Bleckley County,Georgia,0.3
13025,Brantley County,Georgia,0.3
13027,Brooks County,Georgia,0.0
13029,Bryan County,Georgia,1.2
13031,Bulloch County,Georgia,1.0
13033,Burke County,Georgia,1.0
13035,Butts County,Georgia,0.1
13037,Calhoun County,Georgia,0.0
13039,Camden County,Georgia,0.0
13043,Candler County,Georgia,5.5
13045,Carroll County,Georgia,2.2
13047,Catoosa County,Georgia,0.9
13049,Charlton County,Georgia,3.5
13051,Chatham County,Georgia,1.8
13053,Chattahoochee County,Georgia,3.0
13055,Chattooga County,Georgia,0.7
13057,Cherokee County,Georgia,2.7
13059,Clarke County,Georgia,2.9
13061,Clay County,Georgia,0.0
13063,Clayton County,Georgia,4.3
13065,Clinch County,Georgia,1.0
13067,Cobb County,Georgia,3.3
13069,Coffee County,Georgia,3.8
13071,Colquitt County,Georgia,3.3
13073,Columbia County,Georgia,1.3
13075,Cook County,Georgia,0.4
13077,Coweta County,Georgia,1.8
13079,Crawford County,Georgia,0.5
