fips_code,county_name,state_name,mean_household_income
01001,Autauga County,Alabama,93367
01003,Baldwin County,Alabama,100105
01005,Barbour County,Alabama,64745
01007,Bibb County,Alabama,67735
01009,Blount County,Alabama,79203
01011,Bullock County,Alabama,51121
01013,Butler County,Alabama,69162
01015,Calhoun County,Alabama,71879
01017,Chambers County,Alabama,65673
01019,Cherokee County,Alabama,71062
01021,Chilton County,Alabama,75680
01023,Choctaw County,Alabama,63315
01025,Clarke County,Alabama,73965
01027,Clay County,Alabama,71247
01029,Cleburne County,Alabama,73100
01031,Coffee County,Alabama,81266
01033,Colbert County,Alabama,74264
01035,Conecuh County,Alabama,61553
01037,Coosa County,Alabama,69698
01039,Covington County,Alabama,73109
01041,Crenshaw County,Alabama,70635
01043,Cullman County,Alabama,78002
01045,Dale County,Alabama,69759
01047,Dallas County,Alabama,55600
01049,DeKalb County,Alabama,65789
01051,Elmore County,Alabama,96359
01053,Escambia County,Alabama,60177
01055,Etowah County,Alabama,73124
01057,Fayette County,Alabama,69566
01059,Franklin County,Alabama,67215
01061,Geneva County,Alabama,66098
01063,Greene County,Alabama,48047
01065,Hale County,Alabama,61740
01067,Henry County,Alabama,78795
01069,Houston County,Alabama,80048
01071,Jackson County,Alabama,67768
01073,Jefferson County,Alabama,97165
01075,Lamar County,Alabama,60489
01077,Lauderdale County,Alabama,78675
01079,Lawrence County,Alabama,76640
01081,Lee County,Alabama,86713
01083,Limestone County,Alabama,105108
01085,Lowndes County,Alabama,58417
01087,Macon County,Alabama,61698
01089,Madison County,Alabama,111962
01091,Marengo County,Alabama,67077
01093,Marion County,Alabama,66253
01095,Marshall County,Alabama,82099
01097,Mobile County,Alabama,79051
01099,Monroe County,Alabama,57308
01101,Montgomery County,Alabama,80704
01103,Morgan County,Alabama,86044
01105,Perry County,Alabama,42730
01107,Pickens County,Alabama,66646
01109,Pike County,Alabama,69002
01111,Randolph County,Alabama,70749
01113,Russell County,Alabama,65547
01115,St. Clair County,Alabama,92258
01117,Shelby County,Alabama,123911
01119,Sumter County,Alabama,50405
01121,Talladega County,Alabama,72746
01123,Tallapoosa County,Alabama,75764
01125,Tuscaloosa County,Alabama,85068
01127,Walker County,Alabama,69909
01129,Washington County,Alabama,80526
01131,Wilcox County,Alabama,56527
01133,Winston County,Alabama,66939
02013,Aleutians East Borough,Alaska,86888
02016,Aleutians West Census Area,Alaska,122928
02020,Anchorage Municipality,Alaska,127598
02050,Bethel Census Area,Alaska,90872
02060,Bristol Bay Borough,Alaska,126030
02063,Chugach Census Area,Alaska,109799
02066,Copper River Census Area,Alaska,90710
02068,Denali Borough,Alaska,103321
02070,Dillingham Census Area,Alaska,91943
