FIPS Code,County Name,State Name,Total Population,Median Age,Sex Ratio
01001,Autauga County,Alabama,59285,39.2,93.6
01003,Baldwin County,Alabama,239945,43.7,95.7
01005,Barbour County,Alabama,24757,40.7,108.9
01007,Bibb County,Alabama,22152,41.3,114.5
01009,Blount County,Alabama,59292,40.9,102.0
01011,Bullock County,Alabama,10157,40.4,120.7
01013,Butler County,Alabama,18807,42.2,85.3
01015,Calhoun County,Alabama,116141,39.0,93.6
01017,Chambers County,Alabama,34450,41.5,87.5
01019,Cherokee County,Alabama,25224,47.4,97.0
01021,Chilton County,Alabama,45500,39.5,95.7
01023,Choctaw County,Alabama,12525,47.0,88.3
01025,Clarke County,Alabama,22802,42.5,89.8
01027,Clay County,Alabama,14188,43.8,93.0
01029,Cleburne County,Alabama,15254,42.3,100.7
01031,Coffee County,Alabama,54231,38.8,98.9
01033,Colbert County,Alabama,57648,42.3,93.0
01035,Conecuh County,Alabama,11411,46.3,86.6
01037,Coosa County,Alabama,10323,50.3,105.1
01039,Covington County,Alabama,37647,42.8,93.3
01041,Crenshaw County,Alabama,13144,42.4,93.9
01043,Cullman County,Alabama,89463,41.1,98.0
01045,Dale County,Alabama,49516,38.0,97.1
01047,Dallas County,Alabama,37536,40.3,86.5
01049,DeKalb County,Alabama,71946,39.6,100.0
01051,Elmore County,Alabama,88669,38.9,94.9
01053,Escambia County,Alabama,36695,40.5,100.0
01055,Etowah County,Alabama,103208,41.8,94.0
01057,Fayette County,Alabama,16173,42.8,94.6
01059,Franklin County,Alabama,31978,38.6,97.4
01061,Geneva County,Alabama,26726,44.0,96.2
01063,Greene County,Alabama,7589,44.4,92.6
01065,Hale County,Alabama,14749,41.0,91.4
01067,Henry County,Alabama,17450,45.0,95.3
01069,Houston County,Alabama,107628,40.3,92.4
01071,Jackson County,Alabama,52839,43.4,97.9
01073,Jefferson County,Alabama,669744,37.8,90.4
01075,Lamar County,Alabama,13809,44.5,96.2
01077,Lauderdale County,Alabama,95037,40.7,92.5
01079,Lawrence County,Alabama,33182,42.8,96.8
01081,Lee County,Alabama,177663,33.6,97.5
01083,Limestone County,Alabama,107577,40.5,100.5
01085,Lowndes County,Alabama,10008,42.7,92.2
01087,Macon County,Alabama,18951,37.8,85.0
01089,Madison County,Alabama,397135,38.2,96.9
01091,Marengo County,Alabama,19027,41.1,90.0
01093,Marion County,Alabama,29190,43.8,97.6
01095,Marshall County,Alabama,98712,38.6,98.8
01097,Mobile County,Alabama,413162,38.4,91.8
01099,Monroe County,Alabama,19580,43.9,93.4
01101,Montgomery County,Alabama,227197,36.9,89.0
01103,Morgan County,Alabama,123742,40.3,97.4
01105,Perry County,Alabama,8231,42.5,84.6
01107,Pickens County,Alabama,18843,42.5,93.6
01109,Pike County,Alabama,32953,31.7,91.2
01111,Randolph County,Alabama,22310,44.0,96.1
01113,Russell County,Alabama,58858,37.2,91.0
01115,St. Clair County,Alabama,92903,41.0,97.8
01117,Shelby County,Alabama,226955,40.0,95.0
01119,Sumter County,Alabama,12020,34.9,80.4
01121,Talladega County,Alabama,81170,42.2,94.6
01123,Tallapoosa County,Alabama,41070,45.4,94.6
01125,Tuscaloosa County,Alabama,234036,33.0,93.5
01127,Walker County,Alabama,64886,41.3,96.5
01129,Washington County,Alabama,15270,44.1,99.1
01131,Wilcox County,Alabama,10347,42.0,91.8
01133,Winston County,Alabama,23637,45.3,99.7
02013,Aleutians East Borough,Alaska,3423,41.8,161.9
02016,Aleutians West Census Area,Alaska,5178,39.1,227.1
02020,Anchorage Municipality,Alaska,289069,34.9,104.4
02050,Bethel Census Area,Alaska,18487,28.7,114.9
02060,Bristol Bay Borough,Alaska,878,39.3,156.7
02063,Chugach Census Area,Alaska,6964,38.4,115.0
02066,Copper River Census Area,Alaska,2626,45.5,102.6
02068,Denali Borough,Alaska,2029,44.1,171.6
02070,Dillingham Census Area,Alaska,4780,30.9,106.7
02090,Fairbanks North Star Borough,Alaska,95555,32.4,118.9
02100,Haines Borough,Alaska,2077,52.4,102.4
02105,Hoonah-Angoon Census Area,Alaska,2313,51.4,133.2
02110,Juneau City and Borough,Alaska,31969,39.8,104.7
02122,Kenai Peninsula Borough,Alaska,59843,41.5,109.3
02130,Ketchikan Gateway Borough,Alaska,13870,40.8,108.8
02150,Kodiak Island Borough,Alaska,12878,35.4,118.4
02158,Kusilvak Census Area,Alaska,8277,23.6,115.2
02164,Lake and Peninsula Borough,Alaska,1007,33.4,118.0
02170,Matanuska-Susitna Borough,Alaska,110677,36.6,109.7
02180,Nome Census Area,Alaska,9925,29.4,109.6
02185,North Slope Borough,Alaska,10891,35.2,156.6
02188,Northwest Arctic Borough,Alaska,7611,28.3,111.8
02195,Petersburg Borough,Alaska,3394,45.7,99.9
02198,Prince of Wales-Hyder Census Area,Alaska,5730,43.7,123.7
02220,Sitka City and Borough,Alaska,8393,39.6,108.5
02230,Skagway Municipality,Alaska,1308,42.5,68.6
02240,Southeast Fairbanks Census Area,Alaska,6936,37.9,134.2
02275,Wrangell City and Borough,Alaska,2106,44.3,105.9
02282,Yakutat City and Borough,Alaska,506,53.2,192.5
02290,Yukon-Koyukuk Census Area,Alaska,5271,37.3,114.2
04001,Apache County,Arizona,65680,36.2,98.3
04003,Cochise County,Arizona,125458,42.9,104.1
04005,Coconino County,Arizona,144643,32.4,97.7
04007,Gila County,Arizona,53610,51.4,100.0
04009,Graham County,Arizona,38860,34.4,114.3
04011,Greenlee County,Arizona,9452,36.1,109.8
04012,La Paz County,Arizona,16605,59.7,106.8
04013,Maricopa County,Arizona,4491987,37.5,98.9
04015,Mohave County,Arizona,217420,53.2,102.6
04017,Navajo County,Arizona,107744,39.4,100.9
04019,Pima County,Arizona,1049947,39.7,97.7
04021,Pinal County,Arizona,449219,40.3,108.2
04023,Santa Cruz County,Arizona,48209,37.9,93.3
04025,Yavapai County,Arizona,241656,55.0,97.1
04027,Yuma County,Arizona,207685,35.8,106.5
05001,Arkansas County,Arkansas,16773,41.0,95.6
05003,Ashley County,Arkansas,18722,42.7,89.9
05005,Baxter County,Arkansas,42150,51.9,95.0
05007,Benton County,Arkansas,294541,35.8,100.7
05009,Boone County,Arkansas,37896,41.3,96.4
05011,Bradley County,Arkansas,10354,38.5,91.0
05013,Calhoun County,Arkansas,4717,44.8,104.5
05015,Carroll County,Arkansas,28526,44.7,102.5
05017,Chicot County,Arkansas,9997,42.9,103.0
05019,Clark County,Arkansas,21378,31.9,91.3
05021,Clay County,Arkansas,14399,42.6,94.8
05023,Cleburne County,Arkansas,25048,49.5,99.8
05025,Cleveland County,Arkansas,7491,43.7,90.8
05027,Columbia County,Arkansas,22527,34.5,92.6
05029,Conway County,Arkansas,20872,42.6,98.6
05031,Craighead County,Arkansas,112097,34.5,95.2
05033,Crawford County,Arkansas,60792,39.1,97.3
05035,Crittenden County,Arkansas,47609,36.0,89.8
05037,Cross County,Arkansas,16681,40.6,93.7
05039,Dallas County,Arkansas,6351,44.5,100.9
05041,Desha County,Arkansas,11041,41.2,90.7
05043,Drew County,Arkansas,17143,37.7,94.9
05045,Faulkner County,Arkansas,126001,34.0,95.1
05047,Franklin County,Arkansas,17220,42.4,98.9
05049,Fulton County,Arkansas,12239,48.6,96.4
05051,Garland County,Arkansas,100062,45.3,93.6
05053,Grant County,Arkansas,18111,40.2,101.4
05055,Greene County,Arkansas,46182,37.8,98.3
05057,Hempstead County,Arkansas,19778,41.1,91.5
05059,Hot Spring County,Arkansas,33142,43.0,109.6
05061,Howard County,Arkansas,12701,39.4,91.8
05063,Independence County,Arkansas,38120,39.0,99.9
05065,Izard County,Arkansas,13866,47.5,111.5
05067,Jackson County,Arkansas,16775,40.4,101.0
05069,Jefferson County,Arkansas,65780,39.5,99.4
05071,Johnson County,Arkansas,25932,39.4,98.2
05073,Lafayette County,Arkansas,6211,48.5,106.1
05075,Lawrence County,Arkansas,16265,39.8,97.5
05077,Lee County,Arkansas,8511,41.9,127.0
05079,Lincoln County,Arkansas,12966,40.1,171.7
05081,Little River County,Arkansas,11959,42.2,88.1
05083,Logan County,Arkansas,21240,43.8,97.2
05085,Lonoke County,Arkansas,74747,37.3,97.7
05087,Madison County,Arkansas,17032,41.2,100.1
05089,Marion County,Arkansas,17076,51.9,98.6
05091,Miller County,Arkansas,42588,39.0,99.5
05093,Mississippi County,Arkansas,39749,36.9,96.9
05095,Monroe County,Arkansas,6681,45.5,93.1
05097,Montgomery County,Arkansas,8571,50.8,105.3
05099,Nevada County,Arkansas,8228,44.2,95.6
05101,Newton County,Arkansas,7175,48.9,102.7
05103,Ouachita County,Arkansas,22317,44.0,93.1
05105,Perry County,Arkansas,10073,44.1,103.4
05107,Phillips County,Arkansas,15910,39.9,87.4
05109,Pike County,Arkansas,10182,42.8,96.9
05111,Poinsett County,Arkansas,22740,39.8,94.7
05113,Polk County,Arkansas,19348,44.4,95.8
05115,Pope County,Arkansas,63830,36.7,98.3
05117,Prairie County,Arkansas,8162,45.8,101.8
05119,Pulaski County,Arkansas,398949,37.5,91.8
05121,Randolph County,Arkansas,18733,39.3,100.8
05123,St. Francis County,Arkansas,22740,39.7,124.7
05125,Saline County,Arkansas,125724,40.4,96.0
05127,Scott County,Arkansas,9839,42.4,111.7
05129,Searcy County,Arkansas,7861,48.5,100.5
05131,Sebastian County,Arkansas,128448,38.0,96.7
05133,Sevier County,Arkansas,15797,34.8,101.1
05135,Sharp County,Arkansas,17597,47.5,96.5
05137,Stone County,Arkansas,12474,49.2,97.7
05139,Union County,Arkansas,38368,41.5,95.5
05141,Van Buren County,Arkansas,15936,49.6,100.8
05143,Washington County,Arkansas,251863,32.5,101.1
05145,White County,Arkansas,77395,38.4,95.6
05147,Woodruff County,Arkansas,6157,44.9,104.7
05149,Yell County,Arkansas,20195,39.9,102.9
06001,Alameda County,California,1651949,38.7,98.4
06003,Alpine County,California,1695,41.1,109.3
06005,Amador County,California,41029,49.9,120.3
06007,Butte County,California,209470,36.3,99.0
06009,Calaveras County,California,45995,52.0,98.8
06011,Colusa County,California,21895,35.7,106.7
06013,Contra Costa County,California,1161458,40.3,96.8
06015,Del Norte County,California,27293,40.8,119.4
06017,El Dorado County,California,192299,46.1,100.0
06019,Fresno County,California,1012152,33.2,100.5
06021,Glenn County,California,28623,35.9,105.2
06023,Humboldt County,California,135418,39.6,97.9
06025,Imperial County,California,179319,33.0,105.6
06027,Inyo County,California,18803,45.6,103.5
06029,Kern County,California,910433,32.4,103.9
06031,Kings County,California,152830,32.3,123.3
06033,Lake County,California,68139,44.2,100.8
06035,Lassen County,California,31177,37.8,164.1
06037,Los Angeles County,California,9848406,37.9,98.2
06039,Madera County,California,158790,34.6,96.4
06041,Marin County,California,258765,47.3,96.5
06043,Mariposa County,California,17060,51.6,106.2
06045,Mendocino County,California,90709,43.9,98.4
06047,Merced County,California,285597,31.8,103.0
06049,Modoc County,California,8646,49.0,96.5
06051,Mono County,California,13169,40.3,126.7
06053,Monterey County,California,435834,35.3,103.5
06055,Napa County,California,136070,42.8,100.2
06057,Nevada County,California,102452,50.3,97.6
06059,Orange County,California,3164063,39.1,98.3
06061,Placer County,California,412435,42.4,96.8
06063,Plumas County,California,19607,52.1,104.1
06065,Riverside County,California,2449909,36.7,100.6
06067,Sacramento County,California,1584047,37.2,97.0
06069,San Benito County,California,66056,35.9,101.6
06071,San Bernardino County,California,2187816,34.4,100.3
06073,San Diego County,California,3282782,37.1,102.3
06075,San Francisco County,California,836321,39.7,105.7
06077,San Joaquin County,California,787416,35.2,100.4
06079,San Luis Obispo County,California,281486,40.2,101.9
06081,San Mateo County,California,745100,40.6,99.3
06083,Santa Barbara County,California,443975,34.5,100.6
06085,Santa Clara County,California,1903297,37.9,103.9
06087,Santa Cruz County,California,266021,39.6,99.6
06089,Shasta County,California,181554,41.7,97.5
06091,Sierra County,California,2731,56.0,97.9
06093,Siskiyou County,California,43834,47.4,99.8
06095,Solano County,California,450824,39.1,99.4
06097,Sonoma County,California,485642,42.7,96.8
06099,Stanislaus County,California,552250,34.8,99.3
06101,Sutter County,California,98971,36.4,100.8
06103,Tehama County,California,65520,40.1,99.5
06105,Trinity County,California,15886,54.8,95.9
06107,Tulare County,California,475774,31.9,100.5
06109,Tuolumne County,California,54873,48.8,106.1
06111,Ventura County,California,838259,39.4,99.0
06113,Yolo County,California,217782,32.3,94.9
06115,Yuba County,California,83079,33.9,103.1
08001,Adams County,Colorado,524408,34.6,103.3
08003,Alamosa County,Colorado,16515,33.1,97.5
08005,Arapahoe County,Colorado,655709,37.3,99.6
08007,Archuleta County,Colorado,13730,52.2,100.1
08009,Baca County,Colorado,3460,43.0,100.2
08011,Bent County,Colorado,5524,41.7,164.4
08013,Boulder County,Colorado,328317,37.5,101.9
08014,Broomfield County,Colorado,75110,38.8,101.4
08015,Chaffee County,Colorado,19876,47.6,109.8
08017,Cheyenne County,Colorado,1732,43.0,106.2
08019,Clear Creek County,Colorado,9358,49.2,106.8
08021,Conejos County,Colorado,7536,38.8,100.8
08023,Costilla County,Colorado,3571,50.7,101.8
08025,Crowley County,Colorado,5734,39.6,227.5
08027,Custer County,Colorado,5073,58.6,101.8
08029,Delta County,Colorado,31353,48.4,98.9
08031,Denver County,Colorado,713734,35.2,101.8
08033,Dolores County,Colorado,2385,57.2,116.4
08035,Douglas County,Colorado,368283,39.5,101.4
08037,Eagle County,Colorado,55374,39.3,116.6
08039,Elbert County,Colorado,27152,44.8,103.8
08041,El Paso County,Colorado,736008,35.0,103.4
08043,Fremont County,Colorado,49394,44.9,138.9
08045,Garfield County,Colorado,62034,37.2,105.7
08047,Gilpin County,Colorado,5877,48.7,121.2
08049,Grand County,Colorado,15794,45.5,105.0
08051,Gunnison County,Colorado,17158,37.0,121.4
08053,Hinsdale County,Colorado,939,54.8,98.1
08055,Huerfano County,Colorado,6946,55.1,115.2
08057,Jackson County,Colorado,1422,51.5,118.1
08059,Jefferson County,Colorado,579715,40.4,101.2
08061,Kiowa County,Colorado,1356,43.9,89.7
08063,Kit Carson County,Colorado,7015,39.0,102.4
08065,Lake County,Colorado,7411,36.9,103.5
08067,La Plata County,Colorado,56088,42.3,102.5
08069,Larimer County,Colorado,363561,36.6,99.9
08071,Las Animas County,Colorado,14392,46.5,111.4
08073,Lincoln County,Colorado,5561,40.7,144.1
08075,Logan County,Colorado,21067,39.1,118.7
08077,Mesa County,Colorado,157316,40.8,98.3
08079,Mineral County,Colorado,799,53.7,103.3
08081,Moffat County,Colorado,13258,37.9,103.7
08083,Montezuma County,Colorado,26204,44.5,100.6
08085,Montrose County,Colorado,43272,45.7,99.8
08087,Morgan County,Colorado,29186,36.9,106.5
08089,Otero County,Colorado,18460,40.9,98.9
08091,Ouray County,Colorado,5024,55.6,107.3
08093,Park County,Colorado,17739,51.7,111.0
08095,Phillips County,Colorado,4491,40.3,92.8
08097,Pitkin County,Colorado,17119,47.3,107.7
08099,Prowers County,Colorado,11931,38.5,100.4
08101,Pueblo County,Colorado,168726,40.4,98.6
08103,Rio Blanco County,Colorado,6518,39.1,110.8
08105,Rio Grande County,Colorado,11394,43.2,102.3
08107,Routt County,Colorado,24990,42.6,110.3
08109,Saguache County,Colorado,6511,49.8,105.1
08111,San Juan County,Colorado,690,42.2,121.2
08113,San Miguel County,Colorado,8026,42.7,133.7
08115,Sedgwick County,Colorado,2346,42.9,102.9
08117,Summit County,Colorado,30857,39.2,121.0
08119,Teller County,Colorado,24774,52.0,104.6
08121,Washington County,Colorado,4839,41.2,110.2
08123,Weld County,Colorado,340711,35.2,103.1
08125,Yuma County,Colorado,9921,39.6,104.2
09110,Capitol Planning Region,Connecticut,969029,40.2,96.0
09120,Greater Bridgeport Planning Region,Connecticut,326296,40.0,96.2
09130,Lower Connecticut River Valley Planning Region,Connecticut,174983,45.8,97.3
09140,Naugatuck Valley Planning Region,Connecticut,452303,41.9,95.6
09150,Northeastern Connecticut Planning Region,Connecticut,95829,43.9,99.6
09160,Northwest Hills Planning Region,Connecticut,112848,47.1,99.9
09170,South Central Connecticut Planning Region,Connecticut,566803,40.2,93.5
09180,Southeastern Connecticut Planning Region,Connecticut,279025,41.0,100.3
09190,Western Connecticut Planning Region,Connecticut,621232,41.5,96.6
10001,Kent County,Delaware,185043,38.5,93.0
10003,New Castle County,Delaware,573030,39.2,94.3
10005,Sussex County,Delaware,247799,51.4,94.4
11001,District of Columbia,District of Columbia,672079,34.9,90.9
12001,Alachua County,Florida,281751,32.2,93.0
12003,Baker County,Florida,28186,38.1,111.3
12005,Bay County,Florida,181368,41.4,98.8
12007,Bradford County,Florida,27888,40.5,119.5
12009,Brevard County,Florida,620533,46.8,97.1
12011,Broward County,Florida,1946127,41.3,96.2
12013,Calhoun County,Florida,13593,41.8,127.5
12015,Charlotte County,Florida,195083,60.0,96.8
12017,Citrus County,Florida,158693,56.9,96.0
12019,Clay County,Florida,223436,40.2,97.6
12021,Collier County,Florida,387681,53.1,97.4
12023,Columbia County,Florida,70755,40.7,106.6
12027,DeSoto County,Florida,34719,42.8,122.3
12029,Dixie County,Florida,16952,45.8,121.9
12031,Duval County,Florida,1007189,36.7,94.3
12033,Escambia County,Florida,323275,38.1,97.3
12035,Flagler County,Florida,121710,52.6,93.5
12037,Franklin County,Florida,12418,49.2,126.0
12039,Gadsden County,Florida,43642,42.0,92.0
12041,Gilchrist County,Florida,18494,42.7,107.9
12043,Glades County,Florida,12324,45.8,129.5
12045,Gulf County,Florida,14772,47.3,134.7
12047,Hamilton County,Florida,13445,40.6,125.1
12049,Hardee County,Florida,25508,35.9,117.6
12051,Hendry County,Florida,40798,35.7,121.3
12053,Hernando County,Florida,201512,48.1,94.5
12055,Highlands County,Florida,103808,54.2,96.0
12057,Hillsborough County,Florida,1489634,37.8,97.0
12059,Holmes County,Florida,19626,42.4,113.9
12061,Indian River County,Florida,163856,55.0,94.0
12063,Jackson County,Florida,47652,42.9,118.0
12065,Jefferson County,Florida,14713,47.0,109.2
12067,Lafayette County,Florida,8035,41.8,144.0
12069,Lake County,Florida,398696,46.7,94.9
12071,Lee County,Florida,792692,49.3,96.8
12073,Leon County,Florida,295335,31.9,89.9
12075,Levy County,Florida,44276,47.1,95.6
12077,Liberty County,Florida,7650,39.1,131.0
12079,Madison County,Florida,18113,44.9,111.2
12081,Manatee County,Florida,416020,49.4,94.3
12083,Marion County,Florida,387697,48.2,93.3
12085,Martin County,Florida,160464,53.2,98.0
12086,Miami-Dade County,Florida,2685296,40.8,96.1
12087,Monroe County,Florida,81840,48.9,107.4
12089,Nassau County,Florida,94653,46.3,98.3
12091,Okaloosa County,Florida,214281,37.3,103.2
12093,Okeechobee County,Florida,40249,40.7,117.2
12095,Orange County,Florida,1440471,36.4,97.0
12097,Osceola County,Florida,406943,37.0,98.4
12099,Palm Beach County,Florida,1507453,45.4,95.2
12101,Pasco County,Florida,588758,43.7,95.8
12103,Pinellas County,Florida,960565,48.9,93.4
12105,Polk County,Florida,760961,39.6,97.2
12107,Putnam County,Florida,74235,45.0,98.0
12109,St. Johns County,Florida,292243,44.0,95.9
12111,St. Lucie County,Florida,346237,45.3,96.5
12113,Santa Rosa County,Florida,193719,40.0,104.7
12115,Sarasota County,Florida,449011,57.3,92.1
12117,Seminole County,Florida,474912,39.8,94.8
12119,Sumter County,Florida,137536,68.4,98.5
12121,Suwannee County,Florida,44484,42.5,110.1
12123,Taylor County,Florida,21422,43.8,119.1
12125,Union County,Florida,15551,40.1,181.3
12127,Volusia County,Florida,568229,46.6,96.0
12129,Wakulla County,Florida,34608,42.5,120.0
12131,Walton County,Florida,79846,43.8,103.4
12133,Washington County,Florida,25259,41.6,110.8
13001,Appling County,Georgia,18426,39.9,100.9
13003,Atkinson County,Georgia,8261,36.2,94.3
13005,Bacon County,Georgia,11129,39.0,96.3
13007,Baker County,Georgia,2830,48.1,92.4
13009,Baldwin County,Georgia,43669,36.4,101.3
13011,Banks County,Georgia,18757,42.4,100.6
13013,Barrow County,Georgia,86982,36.4,97.5
13015,Bartow County,Georgia,111153,38.0,99.1
13017,Ben Hill County,Georgia,17138,38.5,85.5
13019,Berrien County,Georgia,18257,39.8,101.0
13021,Bibb County,Georgia,156543,36.6,89.1
13023,Bleckley County,Georgia,12414,37.4,97.8
13025,Brantley County,Georgia,18171,40.9,97.3
13027,Brooks County,Georgia,16285,43.0,88.7
13029,Bryan County,Georgia,46681,34.7,99.6
13031,Bulloch County,Georgia,81372,30.2,94.3
13033,Burke County,Georgia,24427,38.4,96.2
13035,Butts County,Georgia,26074,38.5,115.9
13037,Calhoun County,Georgia,5528,39.7,161.7
13039,Camden County,Georgia,56036,34.6,108.1
13043,Candler County,Georgia,10972,41.0,95.5
13045,Carroll County,Georgia,122187,35.3,95.0
13047,Catoosa County,Georgia,68356,40.8,96.0
13049,Charlton County,Georgia,12711,38.0,138.0
13051,Chatham County,Georgia,298143,37.1,92.7
13053,Chattahoochee County,Georgia,9181,23.9,201.0
13055,Chattooga County,Georgia,24975,41.1,106.8
13057,Cherokee County,Georgia,274539,40.0,98.1
13059,Clarke County,Georgia,129267,29.4,90.2
13061,Clay County,Georgia,2853,46.1,82.1
13063,Clayton County,Georgia,298771,33.3,88.6
13065,Clinch County,Georgia,6722,38.8,101.0
13067,Cobb County,Georgia,769152,37.4,95.0
13069,Coffee County,Georgia,43161,36.6,105.9
13071,Colquitt County,Georgia,45907,37.2,100.3
13073,Columbia County,Georgia,159638,37.5,95.8
13075,Cook County,Georgia,17363,37.5,96.7
13077,Coweta County,Georgia,150071,39.0,95.1
13079,Crawford County,Georgia,12183,46.0,107.5
13081,Crisp County,Georgia,19995,40.4,94.9
13083,Dade County,Georgia,16196,42.2,102.2
13085,Dawson County,Georgia,28704,43.9,104.3
13087,Decatur County,Georgia,29118,38.7,93.2
13089,DeKalb County,Georgia,762105,36.3,90.4
13091,Dodge County,Georgia,19909,42.4,111.8
13093,Dooly County,Georgia,11026,45.9,122.7
13095,Dougherty County,Georgia,83915,36.6,84.9
13097,Douglas County,Georgia,146141,36.8,91.2
13099,Early County,Georgia,10683,40.7,90.2
13101,Echols County,Georgia,3705,31.2,83.6
13103,Effingham County,Georgia,67265,36.6,98.1
13105,Elbert County,Georgia,19725,42.4,89.7
13107,Emanuel County,Georgia,22961,38.6,101.1
13109,Evans County,Georgia,10740,36.9,91.2
13111,Fannin County,Georgia,25605,54.0,96.6
13113,Fayette County,Georgia,120689,43.3,94.5
13115,Floyd County,Georgia,98985,37.8,95.8
13117,Forsyth County,Georgia,260062,39.4,100.0
13119,Franklin County,Georgia,23840,40.2,97.6
13121,Fulton County,Georgia,1068507,36.2,94.7
13123,Gilmer County,Georgia,31976,50.0,100.6
13125,Glascock County,Georgia,2913,43.2,79.7
13127,Glynn County,Georgia,84987,43.3,88.2
13129,Gordon County,Georgia,58336,38.8,98.9
13131,Grady County,Georgia,26056,39.4,94.9
13133,Greene County,Georgia,19586,52.3,100.9
13135,Gwinnett County,Georgia,966972,35.9,96.2
13137,Habersham County,Georgia,46948,39.6,90.7
13139,Hall County,Georgia,208395,38.2,99.6
13141,Hancock County,Georgia,8630,47.3,112.4
13143,Haralson County,Georgia,30720,38.8,97.3
