FIPS Code,County Name,State Name,Total Women 15 to 50 years,Women 15 to 50 years!Women with births in the last 12 months
01001,Autauga County,Alabama,14487,628
01003,Baldwin County,Alabama,50078,1980
01005,Barbour County,Alabama,4633,232
01007,Bibb County,Alabama,4562,310
01009,Blount County,Alabama,12468,504
01011,Bullock County,Alabama,1900,115
01013,Butler County,Alabama,4176,50
01015,Calhoun County,Alabama,27700,1397
01017,Chambers County,Alabama,7575,580
01019,Cherokee County,Alabama,4933,285
01021,Chilton County,Alabama,10165,254
01023,Choctaw County,Alabama,2504,146
01025,Clarke County,Alabama,4954,165
01027,Clay County,Alabama,2971,169
01029,Cleburne County,Alabama,3137,132
01031,Coffee County,Alabama,12238,887
01033,Colbert County,Alabama,12575,529
01035,Conecuh County,Alabama,2215,125
01037,Coosa County,Alabama,1956,79
01039,Covington County,Alabama,7754,389
01041,Crenshaw County,Alabama,2828,134
01043,Cullman County,Alabama,19254,1098
01045,Dale County,Alabama,11108,605
01047,Dallas County,Alabama,8538,566
01049,DeKalb County,Alabama,15867,826
01051,Elmore County,Alabama,21339,1141
01053,Escambia County,Alabama,7588,273
01055,Etowah County,Alabama,22867,1108
01057,Fayette County,Alabama,3694,112
01059,Franklin County,Alabama,6665,323
01061,Geneva County,Alabama,5487,150
01063,Greene County,Alabama,1529,5
01065,Hale County,Alabama,3157,72
01067,Henry County,Alabama,3525,240
01069,Houston County,Alabama,24744,1082
01071,Jackson County,Alabama,11305,543
01073,Jefferson County,Alabama,164207,7659
01075,Lamar County,Alabama,2763,209
01077,Lauderdale County,Alabama,22111,1007
01079,Lawrence County,Alabama,7164,512
01081,Lee County,Alabama,47665,1784
01083,Limestone County,Alabama,24528,1092
01085,Lowndes County,Alabama,2050,106
01087,Macon County,Alabama,4849,245
01089,Madison County,Alabama,94328,4722
01091,Marengo County,Alabama,4230,245
01093,Marion County,Alabama,6159,325
01095,Marshall County,Alabama,21125,1222
01097,Mobile County,Alabama,97619,5468
01099,Monroe County,Alabama,4331,166
01101,Montgomery County,Alabama,55633,2819
01103,Morgan County,Alabama,26944,1335
01105,Perry County,Alabama,2015,39
01107,Pickens County,Alabama,4379,281
01109,Pike County,Alabama,9128,296
01111,Randolph County,Alabama,4731,349
01113,Russell County,Alabama,14012,1033
01115,St. Clair County,Alabama,20897,1537
01117,Shelby County,Alabama,53788,2228
01119,Sumter County,Alabama,3219,53
01121,Talladega County,Alabama,18263,1260
01123,Tallapoosa County,Alabama,8498,573
01125,Tuscaloosa County,Alabama,65020,3356
01127,Walker County,Alabama,13848,483
01129,Washington County,Alabama,3087,179
01131,Wilcox County,Alabama,2090,53
01133,Winston County,Alabama,4808,259
02013,Aleutians East Borough,Alaska,679,57
02016,Aleutians West Census Area,Alaska,792,59
02020,Anchorage Municipality,Alaska,71477,3652
02050,Bethel Census Area,Alaska,4112,361
02060,Bristol Bay Borough,Alaska,184,4
02063,Chugach Census Area,Alaska,1478,130
02066,Copper River Census Area,Alaska,449,77
02068,Denali Borough,Alaska,423,30
02070,Dillingham Census Area,Alaska,1027,72
02090,Fairbanks North Star Borough,Alaska,22202,1395
02100,Haines Borough,Alaska,350,9
02105,Hoonah-Angoon Census Area,Alaska,356,15
02110,Juneau City and Borough,Alaska,7453,245
02122,Kenai Peninsula Borough,Alaska,12165,529
02130,Ketchikan Gateway Borough,Alaska,2978,71
02150,Kodiak Island Borough,Alaska,2860,137
02158,Kusilvak Census Area,Alaska,1718,173
02164,Lake and Peninsula Borough,Alaska,220,8
02170,Matanuska-Susitna Borough,Alaska,24884,1792
02180,Nome Census Area,Alaska,2369,206
02185,North Slope Borough,Alaska,2033,51
02188,Northwest Arctic Borough,Alaska,1639,94
02195,Petersburg Borough,Alaska,699,25
02198,Prince of Wales-Hyder Census Area,Alaska,1013,63
02220,Sitka City and Borough,Alaska,1852,71
02230,Skagway Municipality,Alaska,379,32
02240,Southeast Fairbanks Census Area,Alaska,1230,43
02275,Wrangell City and Borough,Alaska,410,28
02282,Yakutat City and Borough,Alaska,66,4
02290,Yukon-Koyukuk Census Area,Alaska,1052,95
04001,Apache County,Arizona,14508,849
04003,Cochise County,Arizona,23981,1344
04005,Coconino County,Arizona,40107,1495
04007,Gila County,Arizona,8994,542
04009,Graham County,Arizona,8510,559
04011,Greenlee County,Arizona,2095,69
04012,La Paz County,Arizona,2326,222
04013,Maricopa County,Arizona,1075131,55662
