FIPS Code,County Name,State Name,Total Households,Households!Average Household Size
01001,Autauga County,Alabama,22523.0,2.61
01003,Baldwin County,Alabama,94642.0,2.5
01005,Barbour County,Alabama,9080.0,2.39
01007,Bibb County,Alabama,7571.0,2.74
01009,Blount County,Alabama,21977.0,2.67
01011,Bullock County,Alabama,3453.0,2.64
01013,Butler County,Alabama,7262.0,2.55
01015,Calhoun County,Alabama,45125.0,2.48
01017,Chambers County,Alabama,13419.0,2.52
01019,Cherokee County,Alabama,10477.0,2.38
01021,Chilton County,Alabama,17554.0,2.57
01023,Choctaw County,Alabama,5174.0,2.39
01025,Clarke County,Alabama,8452.0,2.65
01027,Clay County,Alabama,5765.0,2.42
01029,Cleburne County,Alabama,5849.0,2.58
01031,Coffee County,Alabama,20860.0,2.56
01033,Colbert County,Alabama,24217.0,2.36
01035,Conecuh County,Alabama,4528.0,2.5
01037,Coosa County,Alabama,4201.0,2.38
01039,Covington County,Alabama,14495.0,2.55
01041,Crenshaw County,Alabama,5075.0,2.55
01043,Cullman County,Alabama,34543.0,2.56
01045,Dale County,Alabama,19769.0,2.46
01047,Dallas County,Alabama,15416.0,2.4
01049,DeKalb County,Alabama,25946.0,2.74
01051,Elmore County,Alabama,32529.0,2.59
01053,Escambia County,Alabama,12781.0,2.67
01055,Etowah County,Alabama,39160.0,2.6
01057,Fayette County,Alabama,6051.0,2.62
01059,Franklin County,Alabama,11593.0,2.73
01061,Geneva County,Alabama,10550.0,2.51
01063,Greene County,Alabama,3037.0,2.46
01065,Hale County,Alabama,5541.0,2.62
01067,Henry County,Alabama,6684.0,2.57
01069,Houston County,Alabama,42581.0,2.5
01071,Jackson County,Alabama,21186.0,2.46
01073,Jefferson County,Alabama,268911.0,2.41
01075,Lamar County,Alabama,4987.0,2.74
01077,Lauderdale County,Alabama,38777.0,2.38
01079,Lawrence County,Alabama,13145.0,2.51
01081,Lee County,Alabama,67944.0,2.51
01083,Limestone County,Alabama,40021.0,2.61
01085,Lowndes County,Alabama,4161.0,2.37
01087,Macon County,Alabama,7151.0,2.29
01089,Madison County,Alabama,162469.0,2.37
01091,Marengo County,Alabama,7615.0,2.47
01093,Marion County,Alabama,10874.0,2.62
01095,Marshall County,Alabama,35963.0,2.71
01097,Mobile County,Alabama,160507.0,2.53
01099,Monroe County,Alabama,7396.0,2.61
01101,Montgomery County,Alabama,90785.0,2.41
01103,Morgan County,Alabama,48752.0,2.49
01105,Perry County,Alabama,3195.0,2.3
01107,Pickens County,Alabama,6946.0,2.47
01109,Pike County,Alabama,12605.0,2.42
01111,Randolph County,Alabama,9127.0,2.38
01113,Russell County,Alabama,23784.0,2.45
01115,St. Clair County,Alabama,34477.0,2.64
01117,Shelby County,Alabama,85414.0,2.61
01119,Sumter County,Alabama,4765.0,2.1
01121,Talladega County,Alabama,32889.0,2.36
01123,Tallapoosa County,Alabama,16548.0,2.43
01125,Tuscaloosa County,Alabama,87289.0,2.52
01127,Walker County,Alabama,24843.0,2.57
01129,Washington County,Alabama,5678.0,2.67
01131,Wilcox County,Alabama,3693.0,2.75
01133,Winston County,Alabama,9328.0,2.49
02013,Aleutians East Borough,Alaska,998.0,2.24
02016,Aleutians West Census Area,Alaska,977.0,3.6
02020,Anchorage Municipality,Alaska,107868.0,2.61
02050,Bethel Census Area,Alaska,4661.0,3.75
02060,Bristol Bay Borough,Alaska,283.0,2.45
02063,Chugach Census Area,Alaska,2679.0,2.48
02066,Copper River Census Area,Alaska,1146.0,2.27
02068,Denali Borough,Alaska,533.0,2.26
02070,Dillingham Census Area,Alaska,1383.0,3.18
02090,Fairbanks North Star Borough,Alaska,36176.0,2.53
02100,Haines Borough,Alaska,899.0,2.24
02105,Hoonah-Angoon Census Area,Alaska,922.0,2.33
02110,Juneau City and Borough,Alaska,13138.0,2.38
02122,Kenai Peninsula Borough,Alaska,23902.0,2.43
02130,Ketchikan Gateway Borough,Alaska,5621.0,2.41
02150,Kodiak Island Borough,Alaska,4608.0,2.69
02158,Kusilvak Census Area,Alaska,1891.0,4.23
02164,Lake and Peninsula Borough,Alaska,322.0,2.6
02170,Matanuska-Susitna Borough,Alaska,39682.0,2.73
02180,Nome Census Area,Alaska,2786.0,3.35
02185,North Slope Borough,Alaska,2205.0,3.31
02188,Northwest Arctic Borough,Alaska,1817.0,3.91
02195,Petersburg Borough,Alaska,1319.0,2.42
02198,Prince of Wales-Hyder Census Area,Alaska,2348.0,2.38
02220,Sitka City and Borough,Alaska,3503.0,2.3
02230,Skagway Municipality,Alaska,451.0,2.37
02240,Southeast Fairbanks Census Area,Alaska,2311.0,2.79
02275,Wrangell City and Borough,Alaska,912.0,2.25
