FIPS Code,County Name,State Name,Median MonthlyHousingCost,OwnerOccupied!Median MonthlyHousingCost,RenterOccupied!Median MonthlyHousingCost
01001,Autauga County,Alabama,1048,953,1200
01003,Baldwin County,Alabama,1142,1098,1211
01005,Barbour County,Alabama,640,632,644
01007,Bibb County,Alabama,615,566,802
01009,Blount County,Alabama,741,746,743
01011,Bullock County,Alabama,591,563,635
01013,Butler County,Alabama,653,579,722
01015,Calhoun County,Alabama,761,713,804
01017,Chambers County,Alabama,703,620,850
01019,Cherokee County,Alabama,633,590,750
01021,Chilton County,Alabama,766,654,855
01023,Choctaw County,Alabama,476,465,653
01025,Clarke County,Alabama,628,589,785
01027,Clay County,Alabama,486,473,624
01029,Cleburne County,Alabama,615,563,792
01031,Coffee County,Alabama,917,871,970
01033,Colbert County,Alabama,801,769,838
01035,Conecuh County,Alabama,513,453,781
01037,Coosa County,Alabama,589,578,682
01039,Covington County,Alabama,603,552,736
01041,Crenshaw County,Alabama,543,494,664
01043,Cullman County,Alabama,784,723,883
01045,Dale County,Alabama,749,587,863
01047,Dallas County,Alabama,637,531,749
01049,DeKalb County,Alabama,612,579,683
01051,Elmore County,Alabama,996,982,1014
01053,Escambia County,Alabama,593,523,709
01055,Etowah County,Alabama,741,689,807
01057,Fayette County,Alabama,550,512,622
01059,Franklin County,Alabama,600,570,667
01061,Geneva County,Alabama,615,557,757
01063,Greene County,Alabama,442,461,429
01065,Hale County,Alabama,586,542,723
01067,Henry County,Alabama,711,673,770
01069,Houston County,Alabama,883,854,905
01071,Jackson County,Alabama,639,595,762
01073,Jefferson County,Alabama,1122,1110,1132
01075,Lamar County,Alabama,513,494,548
01077,Lauderdale County,Alabama,763,713,799
01079,Lawrence County,Alabama,667,628,708
01081,Lee County,Alabama,1023,1048,999
01083,Limestone County,Alabama,1003,1052,908
01085,Lowndes County,Alabama,681,686,663
01087,Macon County,Alabama,662,613,709
01089,Madison County,Alabama,1105,1097,1116
01091,Marengo County,Alabama,631,563,722
01093,Marion County,Alabama,545,529,583
01095,Marshall County,Alabama,780,792,765
01097,Mobile County,Alabama,1006,991,1021
01099,Monroe County,Alabama,589,552,721
01101,Montgomery County,Alabama,1032,991,1061
01103,Morgan County,Alabama,829,822,835
01105,Perry County,Alabama,446,417,610
01107,Pickens County,Alabama,570,559,600
01109,Pike County,Alabama,798,744,855
01111,Randolph County,Alabama,592,570,646
01113,Russell County,Alabama,872,805,898
01115,St. Clair County,Alabama,1022,1004,1077
01117,Shelby County,Alabama,1330,1321,1348
01119,Sumter County,Alabama,584,540,841
01121,Talladega County,Alabama,754,745,772
01123,Tallapoosa County,Alabama,685,646,734
01125,Tuscaloosa County,Alabama,1048,1109,997
01127,Walker County,Alabama,630,593,743
01129,Washington County,Alabama,525,529,628
01131,Wilcox County,Alabama,552,516,699
01133,Winston County,Alabama,636,591,744
02013,Aleutians East Borough,Alaska,806,745,1040
02016,Aleutians West Census Area,Alaska,2027,2138,1886
02020,Anchorage Municipality,Alaska,1698,1933,1453
02050,Bethel Census Area,Alaska,782,546,1454
02060,Bristol Bay Borough,Alaska,1013,795,1318
02063,Chugach Census Area,Alaska,1320,1086,1397
02066,Copper River Census Area,Alaska,730,671,973
02068,Denali Borough,Alaska,787,749,938
02070,Dillingham Census Area,Alaska,765,666,1085
02090,Fairbanks North Star Borough,Alaska,1467,1530,1424
02100,Haines Borough,Alaska,907,906,914
02105,Hoonah-Angoon Census Area,Alaska,531,458,986
02110,Juneau City and Borough,Alaska,1585,1722,1462
02122,Kenai Peninsula Borough,Alaska,1077,1011,1163
02130,Ketchikan Gateway Borough,Alaska,1433,1501,1388
02150,Kodiak Island Borough,Alaska,1533,1459,1669
02158,Kusilvak Census Area,Alaska,450,409,832
02164,Lake and Peninsula Borough,Alaska,632,533,933
02170,Matanuska-Susitna Borough,Alaska,1529,1643,1258
02180,Nome Census Area,Alaska,928,748,1328
02185,North Slope Borough,Alaska,958,617,1167
02188,Northwest Arctic Borough,Alaska,836,728,1336
02195,Petersburg Borough,Alaska,1145,1108,1208
02198,Prince of Wales-Hyder Census Area,Alaska,656,545,915
02220,Sitka City and Borough,Alaska,1445,1587,1350
02230,Skagway Municipality,Alaska,1156,981,1228
02240,Southeast Fairbanks Census Area,Alaska,828,684,1304
02275,Wrangell City and Borough,Alaska,956,819,1047
02282,Yakutat City and Borough,Alaska,838,633,1276
02290,Yukon-Koyukuk Census Area,Alaska,518,453,893
04001,Apache County,Arizona,339,289,647
04003,Cochise County,Arizona,855,781,939
04005,Coconino County,Arizona,1245,974,1406
04007,Gila County,Arizona,836,756,1001
04009,Graham County,Arizona,930,965,890
04011,Greenlee County,Arizona,524,385,570
04012,La Paz County,Arizona,539,448,735
04013,Maricopa County,Arizona,1511,1445,1587
04015,Mohave County,Arizona,914,792,1047
04017,Navajo County,Arizona,597,505,832
04019,Pima County,Arizona,1138,1122,1154
04021,Pinal County,Arizona,1230,1172,1417
04023,Santa Cruz County,Arizona,866,955,781
04025,Yavapai County,Arizona,1104,998,1258
04027,Yuma County,Arizona,909,851,983
05001,Arkansas County,Arkansas,748,707,799
05003,Ashley County,Arkansas,539,489,640
05005,Baxter County,Arkansas,725,631,866
05007,Benton County,Arkansas,1219,1246,1193
05009,Boone County,Arkansas,726,747,715
05011,Bradley County,Arkansas,540,522,638
05013,Calhoun County,Arkansas,525,499,822
05015,Carroll County,Arkansas,714,668,818
05017,Chicot County,Arkansas,571,549,661
05019,Clark County,Arkansas,713,661,734
05021,Clay County,Arkansas,603,564,696
05023,Cleburne County,Arkansas,750,662,853
05025,Cleveland County,Arkansas,593,588,635
05027,Columbia County,Arkansas,658,671,631
05029,Conway County,Arkansas,627,594,721
05031,Craighead County,Arkansas,925,914,930
05033,Crawford County,Arkansas,795,763,828
05035,Crittenden County,Arkansas,876,863,883
05037,Cross County,Arkansas,720,679,797
05039,Dallas County,Arkansas,539,530,626
05041,Desha County,Arkansas,630,572,689
05043,Drew County,Arkansas,671,615,712
05045,Faulkner County,Arkansas,997,1026,980
05047,Franklin County,Arkansas,653,589,717
05049,Fulton County,Arkansas,578,565,596
05051,Garland County,Arkansas,841,755,942
05053,Grant County,Arkansas,699,661,779
05055,Greene County,Arkansas,838,818,852
05057,Hempstead County,Arkansas,618,534,781
05059,Hot Spring County,Arkansas,705,666,763
05061,Howard County,Arkansas,619,557,702
05063,Independence County,Arkansas,756,704,814
05065,Izard County,Arkansas,588,568,626
05067,Jackson County,Arkansas,585,548,662
05069,Jefferson County,Arkansas,769,683,849
05071,Johnson County,Arkansas,658,609,714
05073,Lafayette County,Arkansas,530,503,711
05075,Lawrence County,Arkansas,612,546,715
05077,Lee County,Arkansas,581,511,638
05079,Lincoln County,Arkansas,628,611,672
05081,Little River County,Arkansas,601,571,812
05083,Logan County,Arkansas,664,580,721
05085,Lonoke County,Arkansas,1005,1042,961
05087,Madison County,Arkansas,571,532,727
05089,Marion County,Arkansas,594,529,792
05091,Miller County,Arkansas,767,644,882
05093,Mississippi County,Arkansas,770,704,797
05095,Monroe County,Arkansas,534,493,603
05097,Montgomery County,Arkansas,557,492,734
05099,Nevada County,Arkansas,672,554,841
05101,Newton County,Arkansas,591,570,629
05103,Ouachita County,Arkansas,628,589,714
05105,Perry County,Arkansas,568,497,734
05107,Phillips County,Arkansas,632,550,756
05109,Pike County,Arkansas,559,536,671
05111,Poinsett County,Arkansas,608,595,647
05113,Polk County,Arkansas,582,520,699
05115,Pope County,Arkansas,798,745,855
05117,Prairie County,Arkansas,639,636,637
05119,Pulaski County,Arkansas,1046,1060,1036
05121,Randolph County,Arkansas,552,533,671
05123,St. Francis County,Arkansas,729,617,791
05125,Saline County,Arkansas,1005,1024,980
05127,Scott County,Arkansas,579,494,736
05129,Searcy County,Arkansas,460,453,596
05131,Sebastian County,Arkansas,842,831,854
05133,Sevier County,Arkansas,634,536,725
05135,Sharp County,Arkansas,602,581,648
05137,Stone County,Arkansas,525,508,717
05139,Union County,Arkansas,762,679,825
05141,Van Buren County,Arkansas,613,577,727
05143,Washington County,Arkansas,1067,1147,1005
05145,White County,Arkansas,793,767,806
05147,Woodruff County,Arkansas,526,487,595
05149,Yell County,Arkansas,616,595,653
06001,Alameda County,California,2532,2899,2318
06003,Alpine County,California,1734,1753,-666666666
06005,Amador County,California,1464,1515,1380
06007,Butte County,California,1382,1401,1369
06009,Calaveras County,California,1595,1590,1615
06011,Colusa County,California,1178,1276,1139
