FIPS Code,County Name,State Name,Total 16+ Employed,"16+ Employed!Agriculture, forestry, fishing and hunting, and mining",16+ Employed!Construction,16+ Employed!Manufacturing,16+ Employed!Wholesale Trade,16+ Employed!Retail Trade,"16+ Employed!Transportation and warehousing, and utilities",16+ Employed!Information,"16+ Employed!Finance and insurance, and real estate and rental and leasing","16+ Employed!Professional, scientific, and management, and administrative and waste management services","16+ Employed!Educational services, and health care and social assistance","16+ Employed!Arts, entertainment, and recreation, and accommodation and food services","16+ Employed!Other services, except public administration",16+ Employed!Public administration
01001,Autauga County,Alabama,26382,260,1909,3086,772,3216,1495,341,1530,2391,5008,2675,973,2726
01003,Baldwin County,Alabama,109556,1901,8977,10753,2170,16014,5423,972,7817,12958,21093,11073,5414,4991
01005,Barbour County,Alabama,8556,356,453,1944,50,853,585,46,303,446,1829,737,254,700
01007,Bibb County,Alabama,8439,225,857,1379,245,1139,484,71,495,702,1694,289,462,397
01009,Blount County,Alabama,25594,569,2391,4185,844,3385,1982,241,1226,1997,5004,1513,1348,909
01011,Bullock County,Alabama,3622,89,142,1303,64,383,140,54,197,120,487,190,134,319
01013,Butler County,Alabama,7481,247,337,1516,159,886,413,49,447,556,1375,802,407,287
01015,Calhoun County,Alabama,48859,425,2300,9416,1108,6076,2335,486,1748,3814,11331,4377,1874,3569
01017,Chambers County,Alabama,14538,249,802,4349,161,1298,654,178,524,1054,3049,1098,622,500
01019,Cherokee County,Alabama,10388,212,802,1923,131,1159,814,86,333,327,2689,691,575,646
01021,Chilton County,Alabama,18867,579,2915,2628,508,2415,1047,184,957,995,3570,1198,1012,859
01023,Choctaw County,Alabama,4551,149,587,919,61,468,392,31,210,142,985,264,123,220
01025,Clarke County,Alabama,8038,310,548,1326,23,1206,820,37,533,429,1660,416,421,309
01027,Clay County,Alabama,5460,54,675,1657,68,426,367,76,233,297,869,228,282,228
01029,Cleburne County,Alabama,5925,94,759,1130,226,541,370,27,204,364,1067,433,385,325
01031,Coffee County,Alabama,21984,484,1086,2191,505,2592,2506,170,1004,1934,4616,2011,1037,1848
01033,Colbert County,Alabama,26081,437,1977,4809,747,2633,1515,277,936,1994,5646,2354,1616,1140
01035,Conecuh County,Alabama,3506,151,228,834,45,397,280,3,148,237,612,255,170,146
01037,Coosa County,Alabama,3907,146,275,849,57,484,275,2,195,136,763,308,269,148
01039,Covington County,Alabama,15118,790,1121,2136,403,1878,1166,146,622,1036,3498,928,643,751
01041,Crenshaw County,Alabama,5180,330,348,1237,78,473,429,30,215,350,947,236,196,311
01043,Cullman County,Alabama,39894,811,3933,6151,716,5142,2736,303,1746,2848,8475,2933,2251,1849
01045,Dale County,Alabama,17811,352,1197,1811,234,2602,1755,72,550,1415,3830,1865,867,1261
01047,Dallas County,Alabama,13868,364,684,2854,274,1508,676,199,887,1237,2733,951,775,726
01049,DeKalb County,Alabama,30635,816,2486,7400,585,2839,1931,641,1185,1858,5896,1994,2080,924
01051,Elmore County,Alabama,39534,237,2708,4340,1055,4659,1896,228,2539,3544,8743,3420,1664,4501
01053,Escambia County,Alabama,13044,294,961,2186,194,1963,494,113,421,524,2301,1526,1032,1035
01055,Etowah County,Alabama,43234,416,3152,7643,1027,5865,1893,422,1663,2600,10330,3650,2565,2008
01057,Fayette County,Alabama,6191,100,346,1622,103,884,311,61,114,271,1497,393,293,196
01059,Franklin County,Alabama,13426,244,1277,4222,231,1097,739,105,677,960,2494,620,506,254
01061,Geneva County,Alabama,11046,290,779,1400,519,1560,983,106,437,749,2449,857,455,462
01063,Greene County,Alabama,2375,41,136,533,59,107,175,6,101,282,417,181,45,292
01065,Hale County,Alabama,5426,221,203,822,14,852,339,14,61,290,1732,526,139,213
01067,Henry County,Alabama,7455,221,521,801,205,956,557,66,244,570,1867,376,588,483
01069,Houston County,Alabama,46450,627,3138,4617,1549,6272,3975,411,1878,3670,11462,3953,2423,2475
01071,Jackson County,Alabama,21058,233,1932,5317,517,2004,1009,265,634,1708,3897,1388,1133,1021
01073,Jefferson County,Alabama,309745,1720,16812,27874,7681,34281,20278,5190,26302,33262,80731,26437,15439,13738
01075,Lamar County,Alabama,5222,81,157,1359,285,546,362,78,257,345,1005,105,359,283
01077,Lauderdale County,Alabama,43382,324,3365,6387,991,7000,2477,488,2108,2902,9496,4183,1632,2029
01079,Lawrence County,Alabama,14485,379,1145,3573,511,2068,763,142,532,837,2942,678,580,335
01081,Lee County,Alabama,82960,681,4506,9783,1491,8892,3618,1075,5133,8258,24968,7721,3126,3708
01083,Limestone County,Alabama,49824,768,4244,8920,827,5176,1964,479,2007,6539,9460,3732,2382,3326
01085,Lowndes County,Alabama,3625,255,129,1088,85,287,273,68,90,196,674,144,88,248
01087,Macon County,Alabama,7476,198,299,938,15,660,491,46,245,796,1984,1083,268,453
01089,Madison County,Alabama,198466,1057,11003,26428,2549,20086,7592,3109,8066,38814,38663,14806,8718,17575
01091,Marengo County,Alabama,7410,353,262,1555,62,777,427,67,274,278,1972,505,394,484
01093,Marion County,Alabama,11366,243,816,2174,134,1008,881,151,901,486,2763,720,528,561
01095,Marshall County,Alabama,41813,695,3694,8009,1170,5562,1920,564,1437,3665,8075,3116,2014,1892
01097,Mobile County,Alabama,179014,2042,13560,22510,4401,20375,11092,2573,10209,17557,41732,16051,9521,7391
01099,Monroe County,Alabama,6334,300,593,1393,108,904,352,34,185,389,964,394,237,481
01101,Montgomery County,Alabama,98275,477,4651,12160,1891,10775,6105,1158,4872,11162,22163,8344,4105,10412
01103,Morgan County,Alabama,54949,979,5383,10865,1244,6853,2712,789,2041,5804,9363,4111,2679,2126
01105,Perry County,Alabama,2157,107,87,126,9,309,171,40,13,134,706,427,11,17
01107,Pickens County,Alabama,6874,178,636,1640,77,634,537,9,320,256,1442,342,307,496
01109,Pike County,Alabama,14716,209,657,2258,219,1992,1287,243,515,1319,3518,1177,428,894
01111,Randolph County,Alabama,9150,169,576,2139,108,1165,542,23,517,441,2114,468,448,440
01113,Russell County,Alabama,22460,224,1511,3210,254,2640,1558,361,2133,1950,4061,1903,1099,1556
01115,St. Clair County,Alabama,42532,199,4965,5692,1349,4004,2947,483,2479,4077,8926,3145,2095,2171
01117,Shelby County,Alabama,115382,944,8375,9127,4604,12428,6581,1933,12714,12532,26549,8417,6580,4598
01119,Sumter County,Alabama,4254,63,156,646,27,746,177,123,153,199,1123,439,251,151
01121,Talladega County,Alabama,32097,432,2416,6715,473,3198,2235,295,1079,2212,7495,2270,1354,1923
01123,Tallapoosa County,Alabama,16460,211,1439,2960,347,1774,821,197,849,1273,3786,1295,872,636
01125,Tuscaloosa County,Alabama,111104,1501,7225,17579,2089,12066,4896,830,4823,8751,32866,9386,4853,4239
01127,Walker County,Alabama,26022,983,1563,3702,287,3791,2169,275,1108,1873,5454,2421,1364,1032
01129,Washington County,Alabama,5825,334,441,1150,162,546,612,79,156,338,1301,183,220,303
01131,Wilcox County,Alabama,3377,212,300,683,77,363,254,17,31,118,662,128,193,339
01133,Winston County,Alabama,9677,221,1079,2224,169,1242,869,62,432,410,1827,428,393,321
02013,Aleutians East Borough,Alaska,2323,160,24,1272,79,91,104,16,27,36,211,43,27,233
02016,Aleutians West Census Area,Alaska,3632,60,125,1135,220,308,737,28,50,99,146,159,76,489
02020,Anchorage Municipality,Alaska,141941,3652,8219,3615,2607,14903,14664,2803,7135,15190,34833,13501,6527,14292
02050,Bethel Census Area,Alaska,6564,465,172,67,73,704,635,41,189,490,1747,252,312,1417
02060,Bristol Bay Borough,Alaska,453,65,16,45,10,22,59,10,13,8,73,53,10,69
02063,Chugach Census Area,Alaska,3353,356,187,208,13,292,338,94,97,186,696,235,217,434
02066,Copper River Census Area,Alaska,1057,18,137,39,4,91,53,40,23,26,257,106,58,205
02068,Denali Borough,Alaska,1345,509,52,159,5,60,99,2,13,53,84,229,25,55
02070,Dillingham Census Area,Alaska,1876,165,40,37,17,156,144,56,34,46,605,56,85,435
02090,Fairbanks North Star Borough,Alaska,40873,1863,3168,941,663,4005,3654,678,2052,3537,10904,3972,1663,3773
02100,Haines Borough,Alaska,850,40,145,36,6,96,58,51,11,36,112,109,75,75
02105,Hoonah-Angoon Census Area,Alaska,1050,140,44,80,27,121,89,2,18,34,163,131,18,183
02110,Juneau City and Borough,Alaska,16486,559,1253,361,246,1285,1313,160,435,1331,3755,1536,759,3493
02122,Kenai Peninsula Borough,Alaska,25034,2341,2423,1135,232,2430,1464,294,859,1522,6656,2054,1277,2347
02130,Ketchikan Gateway Borough,Alaska,6886,344,477,297,102,683,731,61,315,395,1743,730,328,680
02150,Kodiak Island Borough,Alaska,6076,352,152,1031,84,601,431,48,74,451,1525,425,225,677
02158,Kusilvak Census Area,Alaska,2405,103,43,140,73,346,180,23,7,109,672,96,101,512
02164,Lake and Peninsula Borough,Alaska,506,32,93,24,0,20,54,0,1,8,95,6,12,161
02170,Matanuska-Susitna Borough,Alaska,47314,2284,6085,1532,823,5491,3452,796,1763,3815,11243,3370,2329,4331
02180,Nome Census Area,Alaska,3708,108,123,31,36,286,465,56,60,58,1438,169,172,706
