State,County,Name,Total Households,Households!With an Internet Subscription
01,001,"Autauga County, Alabama",22523,20484
01,003,"Baldwin County, Alabama",94642,85082
01,005,"Barbour County, Alabama",9080,6565
01,007,"Bibb County, Alabama",7571,6160
01,009,"Blount County, Alabama",21977,18551
01,011,"Bullock County, Alabama",3453,2260
01,013,"Butler County, Alabama",7262,5798
01,015,"Calhoun County, Alabama",45125,38509
01,017,"Chambers County, Alabama",13419,10616
01,019,"Cherokee County, Alabama",10477,8442
01,021,"Chilton County, Alabama",17554,14464
01,023,"Choctaw County, Alabama",5174,3723
01,025,"Clarke County, Alabama",8452,6014
01,027,"Clay County, Alabama",5765,4501
01,029,"Cleburne County, Alabama",5849,4396
01,031,"Coffee County, Alabama",20860,18152
01,033,"Colbert County, Alabama",24217,19162
01,035,"Conecuh County, Alabama",4528,3096
01,037,"Coosa County, Alabama",4201,3377
01,039,"Covington County, Alabama",14495,11507
01,041,"Crenshaw County, Alabama",5075,3469
01,043,"Cullman County, Alabama",34543,29619
01,045,"Dale County, Alabama",19769,16723
01,047,"Dallas County, Alabama",15416,12231
01,049,"DeKalb County, Alabama",25946,22154
01,051,"Elmore County, Alabama",32529,29374
01,053,"Escambia County, Alabama",12781,9642
01,055,"Etowah County, Alabama",39160,33315
01,057,"Fayette County, Alabama",6051,4709
01,059,"Franklin County, Alabama",11593,7684
01,061,"Geneva County, Alabama",10550,8125
01,063,"Greene County, Alabama",3037,1845
01,065,"Hale County, Alabama",5541,4213
01,067,"Henry County, Alabama",6684,5358
01,069,"Houston County, Alabama",42581,36409
01,071,"Jackson County, Alabama",21186,18460
01,073,"Jefferson County, Alabama",268911,238227
01,075,"Lamar County, Alabama",4987,3612
01,077,"Lauderdale County, Alabama",38777,31739
01,079,"Lawrence County, Alabama",13145,9814
01,081,"Lee County, Alabama",67944,59102
01,083,"Limestone County, Alabama",40021,35738
01,085,"Lowndes County, Alabama",4161,2689
01,087,"Macon County, Alabama",7151,5452
01,089,"Madison County, Alabama",162469,148575
01,091,"Marengo County, Alabama",7615,5823
01,093,"Marion County, Alabama",10874,8333
01,095,"Marshall County, Alabama",35963,32194
01,097,"Mobile County, Alabama",160507,137653
01,099,"Monroe County, Alabama",7396,5117
01,101,"Montgomery County, Alabama",90785,80861
01,103,"Morgan County, Alabama",48752,40582
01,105,"Perry County, Alabama",3195,2287
01,107,"Pickens County, Alabama",6946,5268
01,109,"Pike County, Alabama",12605,10152
01,111,"Randolph County, Alabama",9127,7385
01,113,"Russell County, Alabama",23784,18443
01,115,"St. Clair County, Alabama",34477,31222
01,117,"Shelby County, Alabama",85414,79994
01,119,"Sumter County, Alabama",4765,3651
01,121,"Talladega County, Alabama",32889,28325
01,123,"Tallapoosa County, Alabama",16548,13576
01,125,"Tuscaloosa County, Alabama",87289,76392
01,127,"Walker County, Alabama",24843,20316
01,129,"Washington County, Alabama",5678,4509
01,131,"Wilcox County, Alabama",3693,2719
01,133,"Winston County, Alabama",9328,7264
02,013,"Aleutians East Borough, Alaska",998,579
02,016,"Aleutians West Census Area, Alaska",977,757
02,020,"Anchorage Municipality, Alaska",107868,101822
02,050,"Bethel Census Area, Alaska",4661,3762
02,060,"Bristol Bay Borough, Alaska",283,228
02,063,"Chugach Census Area, Alaska",2679,2522
02,066,"Copper River Census Area, Alaska",1146,930
02,068,"Denali Borough, Alaska",533,436
02,070,"Dillingham Census Area, Alaska",1383,1108
02,090,"Fairbanks North Star Borough, Alaska",36176,32889
02,100,"Haines Borough, Alaska",899,746
02,105,"Hoonah-Angoon Census Area, Alaska",922,603
02,110,"Juneau City and Borough, Alaska",13138,12261
02,122,"Kenai Peninsula Borough, Alaska",23902,20830
02,130,"Ketchikan Gateway Borough, Alaska",5621,5062
02,150,"Kodiak Island Borough, Alaska",4608,4242
02,158,"Kusilvak Census Area, Alaska",1891,1525
02,164,"Lake and Peninsula Borough, Alaska",322,239
02,170,"Matanuska-Susitna Borough, Alaska",39682,36691
02,180,"Nome Census Area, Alaska",2786,2326
02,185,"North Slope Borough, Alaska",2205,1560
02,188,"Northwest Arctic Borough, Alaska",1817,1606
02,195,"Petersburg Borough, Alaska",1319,1145
02,198,"Prince of Wales-Hyder Census Area, Alaska",2348,1820
02,220,"Sitka City and Borough, Alaska",3503,3151
02,230,"Skagway Municipality, Alaska",451,404
02,240,"Southeast Fairbanks Census Area, Alaska",2311,1829
02,275,"Wrangell City and Borough, Alaska",912,817
02,282,"Yakutat City and Borough, Alaska",207,170
02,290,"Yukon-Koyukuk Census Area, Alaska",2317,1243
04,001,"Apache County, Arizona",20439,10964
04,003,"Cochise County, Arizona",50476,43502
04,005,"Coconino County, Arizona",53642,44641
04,007,"Gila County, Arizona",23253,18788
04,009,"Graham County, Arizona",12460,10493
04,011,"Greenlee County, Arizona",3444,2992
