FIPS Code,County Name,State Name,Total Households,Households!Mean Income
01001,Autauga County,Alabama,22523,93367
01003,Baldwin County,Alabama,94642,100105
01005,Barbour County,Alabama,9080,64745
01007,Bibb County,Alabama,7571,67735
01009,Blount County,Alabama,21977,79203
01011,Bullock County,Alabama,3453,51121
01013,Butler County,Alabama,7262,69162
01015,Calhoun County,Alabama,45125,71879
01017,Chambers County,Alabama,13419,65673
01019,Cherokee County,Alabama,10477,71062
01021,Chilton County,Alabama,17554,75680
01023,Choctaw County,Alabama,5174,63315
01025,Clarke County,Alabama,8452,73965
01027,Clay County,Alabama,5765,71247
01029,Cleburne County,Alabama,5849,73100
01031,Coffee County,Alabama,20860,81266
01033,Colbert County,Alabama,24217,74264
01035,Conecuh County,Alabama,4528,61553
01037,Coosa County,Alabama,4201,69698
01039,Covington County,Alabama,14495,73109
01041,Crenshaw County,Alabama,5075,70635
01043,Cullman County,Alabama,34543,78002
01045,Dale County,Alabama,19769,69759
01047,Dallas County,Alabama,15416,55600
01049,DeKalb County,Alabama,25946,65789
01051,Elmore County,Alabama,32529,96359
01053,Escambia County,Alabama,12781,60177
01055,Etowah County,Alabama,39160,73124
01057,Fayette County,Alabama,6051,69566
01059,Franklin County,Alabama,11593,67215
01061,Geneva County,Alabama,10550,66098
01063,Greene County,Alabama,3037,48047
01065,Hale County,Alabama,5541,61740
01067,Henry County,Alabama,6684,78795
01069,Houston County,Alabama,42581,80048
01071,Jackson County,Alabama,21186,67768
01073,Jefferson County,Alabama,268911,97165
01075,Lamar County,Alabama,4987,60489
01077,Lauderdale County,Alabama,38777,78675
01079,Lawrence County,Alabama,13145,76640
01081,Lee County,Alabama,67944,86713
01083,Limestone County,Alabama,40021,105108
01085,Lowndes County,Alabama,4161,58417
01087,Macon County,Alabama,7151,61698
01089,Madison County,Alabama,162469,111962
01091,Marengo County,Alabama,7615,67077
01093,Marion County,Alabama,10874,66253
01095,Marshall County,Alabama,35963,82099
01097,Mobile County,Alabama,160507,79051
01099,Monroe County,Alabama,7396,57308
01101,Montgomery County,Alabama,90785,80704
01103,Morgan County,Alabama,48752,86044
01105,Perry County,Alabama,3195,42730
01107,Pickens County,Alabama,6946,66646
01109,Pike County,Alabama,12605,69002
01111,Randolph County,Alabama,9127,70749
01113,Russell County,Alabama,23784,65547
01115,St. Clair County,Alabama,34477,92258
01117,Shelby County,Alabama,85414,123911
01119,Sumter County,Alabama,4765,50405
01121,Talladega County,Alabama,32889,72746
01123,Tallapoosa County,Alabama,16548,75764
01125,Tuscaloosa County,Alabama,87289,85068
01127,Walker County,Alabama,24843,69909
01129,Washington County,Alabama,5678,80526
01131,Wilcox County,Alabama,3693,56527
01133,Winston County,Alabama,9328,66939
02013,Aleutians East Borough,Alaska,998,86888
02016,Aleutians West Census Area,Alaska,977,122928
02020,Anchorage Municipality,Alaska,107868,127598
02050,Bethel Census Area,Alaska,4661,90872
02060,Bristol Bay Borough,Alaska,283,126030
02063,Chugach Census Area,Alaska,2679,109799
02066,Copper River Census Area,Alaska,1146,90710
02068,Denali Borough,Alaska,533,103321
02070,Dillingham Census Area,Alaska,1383,91943
02090,Fairbanks North Star Borough,Alaska,36176,110923
02100,Haines Borough,Alaska,899,83299
02105,Hoonah-Angoon Census Area,Alaska,922,83266
02110,Juneau City and Borough,Alaska,13138,122575
02122,Kenai Peninsula Borough,Alaska,23902,102341
02130,Ketchikan Gateway Borough,Alaska,5621,112238
02150,Kodiak Island Borough,Alaska,4608,102245
02158,Kusilvak Census Area,Alaska,1891,63070
02164,Lake and Peninsula Borough,Alaska,322,74678
02170,Matanuska-Susitna Borough,Alaska,39682,111363
02180,Nome Census Area,Alaska,2786,98246
02185,North Slope Borough,Alaska,2205,110508
02188,Northwest Arctic Borough,Alaska,1817,100502
02195,Petersburg Borough,Alaska,1319,98129
02198,Prince of Wales-Hyder Census Area,Alaska,2348,80149
02220,Sitka City and Borough,Alaska,3503,107564
02230,Skagway Municipality,Alaska,451,98060
02240,Southeast Fairbanks Census Area,Alaska,2311,91780
02275,Wrangell City and Borough,Alaska,912,81433
02282,Yakutat City and Borough,Alaska,207,92687
02290,Yukon-Koyukuk Census Area,Alaska,2317,65009
04001,Apache County,Arizona,20439,57306
04003,Cochise County,Arizona,50476,77541
04005,Coconino County,Arizona,53642,95848
04007,Gila County,Arizona,23253,75671
04009,Graham County,Arizona,12460,80094
04011,Greenlee County,Arizona,3444,84558
04012,La Paz County,Arizona,8887,68092
04013,Maricopa County,Arizona,1697342,115162
04015,Mohave County,Arizona,96899,76121
04017,Navajo County,Arizona,39171,67131
04019,Pima County,Arizona,430965,92561
04021,Pinal County,Arizona,157193,97007
04023,Santa Cruz County,Arizona,16816,70629
04025,Yavapai County,Arizona,108900,88175
04027,Yuma County,Arizona,76903,77603
05001,Arkansas County,Arkansas,6587,73981
05003,Ashley County,Arkansas,7199,60457
05005,Baxter County,Arkansas,19289,68034
05007,Benton County,Arkansas,107667,121779
05009,Boone County,Arkansas,15232,70513
05011,Bradley County,Arkansas,3600,62232
05013,Calhoun County,Arkansas,1584,73162
05015,Carroll County,Arkansas,11106,72185
05017,Chicot County,Arkansas,3919,59697
05019,Clark County,Arkansas,8147,67510
05021,Clay County,Arkansas,6116,63441
05023,Cleburne County,Arkansas,10458,74855
05025,Cleveland County,Arkansas,2793,69803
05027,Columbia County,Arkansas,8361,66389
05029,Conway County,Arkansas,8303,69207
05031,Craighead County,Arkansas,43357,82653
05033,Crawford County,Arkansas,22994,75580
05035,Crittenden County,Arkansas,18338,72770
05037,Cross County,Arkansas,6524,69861
05039,Dallas County,Arkansas,2425,60225
05041,Desha County,Arkansas,4750,52920
05043,Drew County,Arkansas,7004,63455
05045,Faulkner County,Arkansas,48866,85913
05047,Franklin County,Arkansas,6878,65796
05049,Fulton County,Arkansas,4808,54372
05051,Garland County,Arkansas,43762,74518
05053,Grant County,Arkansas,6955,91164
05055,Greene County,Arkansas,17926,69475
05057,Hempstead County,Arkansas,7454,66635
05059,Hot Spring County,Arkansas,12101,67204
05061,Howard County,Arkansas,5169,62736
05063,Independence County,Arkansas,14515,77283
05065,Izard County,Arkansas,5027,61320
05067,Jackson County,Arkansas,6094,60764
05069,Jefferson County,Arkansas,24334,66118
05071,Johnson County,Arkansas,10047,61307
05073,Lafayette County,Arkansas,2564,51942
05075,Lawrence County,Arkansas,6437,63906
05077,Lee County,Arkansas,2641,60647
05079,Lincoln County,Arkansas,3518,67605
05081,Little River County,Arkansas,4790,69554
05083,Logan County,Arkansas,8484,72784
05085,Lonoke County,Arkansas,27817,88961
05087,Madison County,Arkansas,6381,73885
05089,Marion County,Arkansas,7296,61967
05091,Miller County,Arkansas,16311,68756
05093,Mississippi County,Arkansas,15381,76088
05095,Monroe County,Arkansas,2819,57347
05097,Montgomery County,Arkansas,3752,65505
05099,Nevada County,Arkansas,3402,52418
05101,Newton County,Arkansas,3049,64637
05103,Ouachita County,Arkansas,8590,63323
05105,Perry County,Arkansas,3840,75452
05107,Phillips County,Arkansas,6179,54537
05109,Pike County,Arkansas,4120,70571
05111,Poinsett County,Arkansas,9031,62397
05113,Polk County,Arkansas,7884,75460
05115,Pope County,Arkansas,24073,77373
05117,Prairie County,Arkansas,3261,75028
05119,Pulaski County,Arkansas,169453,91685
05121,Randolph County,Arkansas,7071,68091
05123,St. Francis County,Arkansas,7881,59402
05125,Saline County,Arkansas,49589,94089
05127,Scott County,Arkansas,3927,57192
05129,Searcy County,Arkansas,3052,53052
05131,Sebastian County,Arkansas,51951,85707
05133,Sevier County,Arkansas,5697,67677
05135,Sharp County,Arkansas,6810,66305
05137,Stone County,Arkansas,4962,53444
05139,Union County,Arkansas,15125,74494
05141,Van Buren County,Arkansas,7115,60906
05143,Washington County,Arkansas,95467,95012
05145,White County,Arkansas,28945,73577
05147,Woodruff County,Arkansas,2753,64984
05149,Yell County,Arkansas,8053,66744
06001,Alameda County,California,593117,171948
06003,Alpine County,California,473,162949
06005,Amador County,California,16066,104990
06007,Butte County,California,82345,96124
06009,Calaveras County,California,17897,103128
06011,Colusa County,California,7466,93585
06013,Contra Costa County,California,411662,172107
06015,Del Norte County,California,9621,86246
06017,El Dorado County,California,75719,145804
06019,Fresno County,California,322163,97005
06021,Glenn County,California,9763,86148
06023,Humboldt County,California,54878,86742
06025,Imperial County,California,48844,77390
06027,Inyo County,California,7923,93044
06029,Kern County,California,281416,91401
06031,Kings County,California,43736,86268
06033,Lake County,California,26364,86272
06035,Lassen County,California,9060,81066
06037,Los Angeles County,California,3390254,125539
06039,Madera County,California,44513,99476
06041,Marin County,California,103201,224140
06043,Mariposa County,California,7515,86394
06045,Mendocino County,California,34570,91472
06047,Merced County,California,84605,87129
06049,Modoc County,California,3264,74476
06051,Mono County,California,5521,115814
06053,Monterey County,California,132046,128334
06055,Napa County,California,49663,154011
06057,Nevada County,California,41873,117745
06059,Orange County,California,1074654,152475
06061,Placer County,California,155422,147894
06063,Plumas County,California,8055,93296
06065,Riverside County,California,762234,115609
06067,Sacramento County,California,568223,114458
06069,San Benito County,California,20188,138189
06071,San Bernardino County,California,668004,105546
06073,San Diego County,California,1159822,136236
06075,San Francisco County,California,362650,204625
06077,San Joaquin County,California,241373,114559
06079,San Luis Obispo County,California,108897,126122
06081,San Mateo County,California,264424,226660
06083,Santa Barbara County,California,148960,137063
06085,Santa Clara County,California,654467,219664
06087,Santa Cruz County,California,96873,153085
06089,Shasta County,California,71473,96355
06091,Sierra County,California,1206,89329
06093,Siskiyou County,California,18907,76699
06095,Solano County,California,155800,124288
06097,Sonoma County,California,190498,138572
06099,Stanislaus County,California,176457,102442
06101,Sutter County,California,33240,101655
06103,Tehama County,California,24526,92809
06105,Trinity County,California,5373,80934
06107,Tulare County,California,142026,90157
06109,Tuolumne County,California,22809,97299
06111,Ventura County,California,278045,141716
06113,Yolo County,California,76640,122086
06115,Yuba County,California,28063,93604
08001,Adams County,Colorado,184964,112415
08003,Alamosa County,Colorado,6570,73926
08005,Arapahoe County,Colorado,253890,132105
08007,Archuleta County,Colorado,5904,97641
08009,Baca County,Colorado,1593,61863
08011,Bent County,Colorado,1875,58522
08013,Boulder County,Colorado,135230,144869
08014,Broomfield County,Colorado,30921,152217
08015,Chaffee County,Colorado,9195,100353
08017,Cheyenne County,Colorado,751,86295
08019,Clear Creek County,Colorado,4512,136058
08021,Conejos County,Colorado,3112,66821
08023,Costilla County,Colorado,1574,57688
08025,Crowley County,Colorado,1333,57856
08027,Custer County,Colorado,2448,90623
08029,Delta County,Colorado,12648,82168
