FIPS Code,County Name,State Name,Households!MedianIncome
01001,Autauga County,Alabama,69841
01003,Baldwin County,Alabama,75019
01005,Barbour County,Alabama,44290
01007,Bibb County,Alabama,51215
01009,Blount County,Alabama,61096
01011,Bullock County,Alabama,36723
01013,Butler County,Alabama,44881
01015,Calhoun County,Alabama,55826
01017,Chambers County,Alabama,49295
01019,Cherokee County,Alabama,50769
01021,Chilton County,Alabama,61873
01023,Choctaw County,Alabama,44483
01025,Clarke County,Alabama,49167
01027,Clay County,Alabama,51852
01029,Cleburne County,Alabama,53319
01031,Coffee County,Alabama,64672
01033,Colbert County,Alabama,56736
01035,Conecuh County,Alabama,42266
01037,Coosa County,Alabama,57063
01039,Covington County,Alabama,50886
01041,Crenshaw County,Alabama,49040
01043,Cullman County,Alabama,60916
01045,Dale County,Alabama,53955
01047,Dallas County,Alabama,36810
01049,DeKalb County,Alabama,51149
01051,Elmore County,Alabama,75553
01053,Escambia County,Alabama,44447
01055,Etowah County,Alabama,53070
01057,Fayette County,Alabama,50733
01059,Franklin County,Alabama,51493
01061,Geneva County,Alabama,50951
01063,Greene County,Alabama,31495
01065,Hale County,Alabama,41325
01067,Henry County,Alabama,60135
01069,Houston County,Alabama,57531
01071,Jackson County,Alabama,49454
01073,Jefferson County,Alabama,64589
01075,Lamar County,Alabama,47447
01077,Lauderdale County,Alabama,59082
01079,Lawrence County,Alabama,60040
01081,Lee County,Alabama,61123
01083,Limestone County,Alabama,83534
01085,Lowndes County,Alabama,35160
01087,Macon County,Alabama,45951
01089,Madison County,Alabama,83528
01091,Marengo County,Alabama,44205
01093,Marion County,Alabama,50714
01095,Marshall County,Alabama,60946
01097,Mobile County,Alabama,58119
01099,Monroe County,Alabama,40225
01101,Montgomery County,Alabama,58153
01103,Morgan County,Alabama,64858
01105,Perry County,Alabama,34368
01107,Pickens County,Alabama,47014
01109,Pike County,Alabama,47961
01111,Randolph County,Alabama,51551
01113,Russell County,Alabama,50046
01115,St. Clair County,Alabama,78993
01117,Shelby County,Alabama,93543
01119,Sumter County,Alabama,37981
01121,Talladega County,Alabama,56249
01123,Tallapoosa County,Alabama,57185
01125,Tuscaloosa County,Alabama,63947
01127,Walker County,Alabama,54509
01129,Washington County,Alabama,60503
01131,Wilcox County,Alabama,42236
01133,Winston County,Alabama,48032
02013,Aleutians East Borough,Alaska,72692
02016,Aleutians West Census Area,Alaska,107344
02020,Anchorage Municipality,Alaska,98152
02050,Bethel Census Area,Alaska,70616
02060,Bristol Bay Borough,Alaska,100625
02063,Chugach Census Area,Alaska,88565
02066,Copper River Census Area,Alaska,75053
02068,Denali Borough,Alaska,88935
02070,Dillingham Census Area,Alaska,74250
02090,Fairbanks North Star Borough,Alaska,84722
02100,Haines Borough,Alaska,72607
02105,Hoonah-Angoon Census Area,Alaska,62500
02110,Juneau City and Borough,Alaska,100513
02122,Kenai Peninsula Borough,Alaska,77722
02130,Ketchikan Gateway Borough,Alaska,89155
02150,Kodiak Island Borough,Alaska,83716
02158,Kusilvak Census Area,Alaska,48233
02164,Lake and Peninsula Borough,Alaska,64000
02170,Matanuska-Susitna Borough,Alaska,90625
02180,Nome Census Area,Alaska,76643
02185,North Slope Borough,Alaska,86313
02188,Northwest Arctic Borough,Alaska,81298
